A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
142.100,109.600,89.400,48.700,31.600,14.400,
114.700,87.000,76.200,53.300,43.600,18.800,
123.600,95.900,74.300,55.000,34.000,18.300,
105.200,74.800,58.300,49.800,39.700,15.900,
83.000,66.400,56.000,48.300,40.100,14.200,
132.200,104.400,78.800,58.300,35.900,19.100,
,59.600,49.300,45.300,35.300,15.900,
118.200,95.100,79.300,57.300,40.600,20.700,
113.700,86.900,72.200,57.900,42.200,22.500,
133.400,110.000,94.700,79.300,67.300,24.300,
120.700,96.900,80.400,58.300,50.300,20.700,
120.000,97.800,77.100,56.200,42.200,20.800,
94.400,65.000,41.900,28.400,19.300,7.600,
70.100,50.600,39.000,27.700,16.100,6.400,
123.600,95.900,74.300,55.000,34.000,18.300,
78.600,56.700,42.300,29.800,17.000,7.500,
73.300,57.000,40.700,27.000,15.900,6.600,
69.800,51.800,39.600,26.200,15.400,6.600,
123.800,100.900,79.500,58.000,43.600,21.500,
96.300,77.500,51.200,39.200,29.900,10.600,
105.700,75.300,45.500,30.300,21.000,8.300,
96.900,66.600,42.200,28.600,20.100,8.000,
125.000,100.900,78.700,49.300,33.700,12.700,
126.200,98.400,73.800,54.900,33.300,18.100,
126.800,94.500,68.000,43.400,30.800,11.100,
,82.800,67.800,53.500,39.000,18.200,
122.500,95.200,73.600,54.500,33.700,18.100,
125.200,90.100,64.800,41.300,29.200,10.300,
125.800,99.200,75.400,55.100,33.900,18.500,
83.000,66.400,56.000,48.300,40.100,14.200,
,47.500,35.800,23.400,14.300,5.700,
126.200,99.400,75.400,55.000,33.700,18.500,
117.500,90.700,74.000,40.400,26.200,11.900,
107.500,80.100,67.100,54.200,40.900,16.300,
,72.900,63.400,49.900,39.200,14.400,
132.600,102.300,83.500,45.500,29.500,13.400,
98.600,73.300,60.100,41.500,22.500,8.400,
81.200,68.500,57.400,47.400,,11.500,
108.300,88.000,67.000,54.900,52.800,14.600,
,75.200,58.200,43.700,35.700,17.300,
81.900,56.900,43.900,29.800,16.900,7.300,
125.000,97.100,75.900,55.700,34.300,18.700,
118.600,87.200,73.400,59.900,47.400,14.900,
