Município,A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
35.300,29.000,21.000,17.700,11.500,,,
54.700,42.200,32.300,21.900,15.700,,,
48.300,32.400,22.100,21.000,16.700,,,
33.500,27.700,21.800,20.800,15.000,,,
32.200,25.100,18.100,13.000,6.500,,,
34.200,29.100,22.200,20.600,15.600,,,
33.000,27.700,21.800,20.600,14.900,,,
53.400,41.100,31.200,20.800,14.800,,,
49.200,41.200,34.200,17.300,11.400,,,
29.300,25.800,20.300,9.400,5.400,,,
29.100,23.100,17.600,9.000,5.300,,,
59.300,49.700,39.000,30.600,22.400,,,
35.900,27.300,23.100,22.900,,,,
,30.000,24.900,24.700,,,,
41.500,32.100,23.700,16.200,11.000,,,
32.400,25.900,19.400,12.900,6.600,,,
46.300,41.100,30.900,14.400,12.000,,,
38.400,29.300,21.700,14.600,9.700,,,
,24.700,19.700,,10.700,,,
42.700,31.200,18.500,10.600,8.000,,,
36.000,30.900,24.900,16.900,11.900,,,
40.400,36.300,28.900,12.300,10.800,,,
38.200,29.900,19.200,16.100,10.300,,,
50.100,43.300,34.800,20.100,17.400,,,
33.900,28.400,21.500,20.700,15.200,,,
41.100,32.600,24.300,16.500,11.300,,,
37.000,30.700,24.800,16.900,11.400,,,
25.900,20.600,13.600,10.300,4.700,,,
43.700,37.800,30.300,17.500,15.200,,,
37.500,30.000,22.600,11.400,8.600,,,
38.600,30.800,26.600,14.000,11.800,,,
33.000,27.300,21.800,20.500,15.400,,,
,23.100,17.600,7.700,5.300,,,
51.700,44.800,36.000,20.800,18.000,,,
45.100,35.600,26.200,18.000,12.600,,,
40.000,34.800,29.700,20.000,,,,
53.500,46.400,37.200,21.500,18.700,,,
36.100,25.500,17.400,9.500,6.600,,,
55.400,41.600,31.300,26.000,19.600,,,
,24.100,19.200,,8.200,,,
40.400,36.300,28.900,12.300,10.800,,,
54.500,42.200,32.300,21.900,15.700,,,
38.100,29.800,22.300,13.200,11.100,,,
33.900,28.600,22.700,20.600,16.000,,,
47.600,35.700,26.900,18.500,14.700,,,
32.400,25.900,19.400,12.900,6.600,,,
42.200,31.300,26.700,18.400,17.900,,,
33.800,28.100,21.000,14.200,8.300,,,
55.400,41.600,31.300,26.000,19.600,,,
44.200,35.000,25.600,17.800,12.100,,,
