A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
103.200,76.200,61.700,50.300,37.300,12.600,
,35.600,27.000,19.500,11.800,4.900,
72.600,53.500,40.600,28.600,16.400,7.600,
69.900,50.600,38.900,26.700,15.100,6.300,
106.200,85.700,67.100,48.700,34.300,14.600,
,53.100,47.000,41.100,35.300,15.800,
,63.400,52.600,41.200,32.100,10.400,
118.800,70.400,55.700,49.700,39.600,15.800,
,61.700,51.400,45.400,35.300,15.800,
111.000,90.100,74.700,57.700,41.900,17.000,
,67.800,56.200,44.500,35.000,11.200,
140.000,114.600,89.500,54.300,36.300,14.200,
138.600,108.300,81.700,59.000,36.100,19.400,
103.200,76.200,61.700,50.300,37.300,12.600,
126.900,98.100,80.000,56.100,40.000,18.100,
,52.200,38.400,28.000,17.800,4.500,
74.800,57.000,32.000,20.000,11.500,5.600,
120.100,94.100,75.100,48.500,32.100,16.400,
141.300,107.000,84.400,55.700,37.600,19.400,
114.900,85.000,65.800,36.200,23.900,8.600,
105.300,77.500,69.000,47.300,39.000,17.300,
118.000,94.600,74.700,54.900,38.900,16.500,
82.100,59.200,45.400,31.000,17.300,7.700,
103.100,76.900,68.800,47.000,39.000,17.000,
102.300,74.500,60.000,49.900,36.800,11.800,
143.200,107.400,81.500,50.300,35.300,17.800,
126.900,98.100,80.000,56.100,40.000,18.100,
110.500,81.000,66.500,49.000,,12.000,
83.600,60.600,47.100,31.200,17.600,7.800,
104.500,74.900,63.000,52.900,37.300,12.200,
112.300,90.700,71.100,51.600,36.300,15.400,
105.300,83.600,66.900,48.600,36.400,18.900,
131.600,103.100,81.900,51.100,33.500,13.400,
138.600,112.200,88.600,53.800,36.500,15.300,
111.000,90.100,74.700,57.700,41.900,17.000,
,51.900,42.900,24.800,16.200,5.500,
130.500,105.900,83.400,60.800,42.800,18.300,
141.400,114.500,90.400,54.900,37.900,14.400,
96.500,74.900,47.400,36.600,26.800,12.900,
130.300,101.600,76.200,54.700,33.400,16.400,
,46.700,34.900,22.100,14.200,6.000,
131.600,103.100,81.900,51.100,33.500,13.400,
116.200,90.900,72.400,47.300,37.600,16.100,
