A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
90.600,63.700,39.900,24.100,15.900,6.400,
,62.500,48.100,36.100,27.400,14.200,
105.800,76.000,63.800,52.100,41.300,13.100,
71.300,55.600,42.800,22.600,14.000,7.700,
113.900,89.300,71.300,46.500,30.700,16.100,
116.200,95.600,83.500,42.700,34.700,9.800,
99.200,78.000,64.600,40.900,38.200,15.700,
,40.100,31.100,20.400,12.600,5.400,
75.900,55.400,42.000,29.500,17.000,7.800,
128.300,107.400,92.000,69.400,50.600,20.200,
126.200,102.200,80.300,58.400,41.100,17.500,
,70.400,60.900,49.700,38.700,14.900,
99.200,78.000,64.600,40.900,38.200,15.700,
141.300,107.000,84.400,55.700,37.600,19.400,
131.600,103.100,81.900,49.900,33.000,13.400,
,66.800,50.700,37.900,28.700,13.800,
143.100,117.100,92.800,56.200,38.300,15.800,
103.200,76.200,61.700,50.300,37.300,12.600,
107.100,77.000,64.600,52.700,41.800,13.500,
,67.800,56.200,44.500,35.000,11.200,
108.900,80.600,66.000,48.700,,12.000,
137.700,107.400,76.900,45.700,32.500,17.800,
82.500,67.700,57.400,47.400,,11.500,
,68.800,57.100,45.200,35.500,11.400,
143.600,118.700,93.000,57.600,39.100,17.100,
132.900,103.700,77.800,55.900,34.100,18.300,
91.100,74.500,45.200,34.200,25.100,12.100,
106.200,77.100,63.500,52.100,39.900,12.600,
,72.400,60.000,47.500,37.400,12.000,
138.600,108.300,81.700,59.000,36.100,19.400,
149.900,117.100,88.300,63.800,,20.900,
,66.800,50.700,37.900,28.700,13.800,
104.000,77.100,64.300,46.000,35.500,16.100,
,63.400,52.600,41.200,32.100,10.300,
106.100,76.200,63.800,52.100,41.400,13.300,
138.600,112.200,88.600,53.800,36.500,15.300,
82.500,67.700,57.400,47.400,,11.500,
105.900,76.900,56.900,43.400,33.200,11.200,
,79.300,61.700,52.400,39.500,10.700,
141.200,118.500,89.300,49.600,37.600,15.600,
,63.400,52.600,41.200,32.100,10.300,
107.900,87.400,76.400,50.400,44.600,22.200,
91.000,72.000,53.300,27.200,18.500,8.100,
