"SECRETARIA DE EDEPARTAMENTO DDIVISÃO DE ESTATÍPREÇOS MÉDIOS DE TERRAS AGRÍCOLAS  detalh","TADO DA AGRICULTURA E DO ABASTECIMENTO - SEABECONOMIA RURAL  DERALTICAS BÁSICASmento por caracte?istica e município de 2007 a 2016 em Reais por hectare",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Munícipio,"Tipo deTerra",Classe / Grau,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,,,,,,,,,,,,
Paulo Frontin,Mista,Mecanizada,7.600,8.265,8.265,8.265,10.000,11.000,11.500,20.000,21.000,24.000
,Mecanizável,3.900,4.950,4.950,4.950,6.000,6.800,6.800,11.150,12.400,15.000,
,Não Mecanizável,1.900,3.306,3.306,3.306,3.306,4.000,4.000,5.000,7.000,8.000,
,Inaproveitáveis,350,600,600,600,600,600,1.321,1.400,1.500,1.800,
,,,,,,,,,,,,
Peabiru,Roxa,Mecanizada,12.810,20.661,20.728,19.690,20.050,37.897,37.897,41.500,46.100,53.720
,Mecanizável,9.153,16.528,15.876,15.250,15.300,28.400,28.400,33.000,35.640,40.000,
,Não Mecanizável,6.198,10.331,10.143,9.800,10.000,10.833,10.833,12.000,12.600,15.500,
,Inaproveitáveis,1.240,1.400,1.435,1.400,1.430,3.350,3.350,5.000,5.400,5.900,
,,,,,,,,,,,,
,Mista,Mecanizada,10.682,14.876,14.553,14.320,16.050,28.667,30.100,35.600,42.000,44.300
,Mecanizável,7.748,12.397,12.500,12.075,12.500,23.333,24.730,28.680,31.850,34.850,
,Não Mecanizável,5.062,8.100,7.644,7.296,7.450,7.450,7.450,8.940,9.570,10.600,
,Inaproveitáveis,1.095,1.326,1.375,1.340,1.340,2.800,2.800,3.400,3.600,4.050,
,,,,,,,,,,,,
Perobal,Mista,Mecanizada,,,,,,,,,30.000,33.087
,Mecanizável,,,,,,,,,,,
,Não Mecanizável,,,,,,,,,,,
,Inaproveitáveis,,,,,,,,,4.500,9.000,
,,,,,,,,,,,,
,Arenosa,Mecanizada,6.200,9.091,8.200,8.200,9.000,11.157,16.500,20.000,22.000,24.793
,Mecanizável,5.000,7.438,7.000,7.000,8.100,10.000,14.850,,,,
,Não Mecanizável,,,,,,,,,,,
,Inaproveitáveis,,,,,,,,,,,
,,,,,,,,,,,,
Pérola,Arenosa,Mecanizada,6.200,7.024,8.200,8.000,9.500,12.400,14.500,18.600,20.000,21.000
,Mecanizável,5.000,6.200,7.000,7.000,8.000,11.000,13.000,,,,
,Não Mecanizável,,5.000,5.000,5.000,5.800,6.000,7.000,,12.000,,
,Inaproveitáveis,,,,,,,,8.300,3.600,8.000,
,,,,,,,,,,,,
Pérola d'Oeste,Mista,Mecanizada,10.500,14.000,16.320,16.400,17.400,24.000,28.000,33.000,35.000,42.000
Mecanizável,,,,,,,22.400,26.400,27.000,30.000,,
Não Mecanizável,4.100,5.880,6.100,6.200,7.000,8.000,12.000,12.500,12.500,15.000,,
Inaproveitáveis,850,1.176,1.200,1.200,1.300,1.500,1.680,2.100,2.100,2.500,,
,,,,,,,,,,,,
