Município,A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
55.500,41.200,26.700,18.200,13.600,,,
43.100,40.200,23.100,15.400,9.200,,,
54.900,42.100,32.400,27.000,20.600,,,
49.300,39.400,29.200,19.900,13.500,,,
38.700,32.200,23.600,13.900,8.500,,,
49.200,38.900,28.700,19.600,13.700,,,
,29.100,20.800,,10.700,,,
42.700,31.300,20.300,11.400,8.300,,,
,22.200,17.900,,9.900,,,
38.100,30.500,23.900,14.200,8.900,,,
33.700,26.400,21.100,13.900,8.100,,,
44.100,37.100,30.500,20.300,13.200,,,
37.800,29.400,23.400,15.000,12.000,,,
46.900,35.900,24.600,,12.900,,,
,22.300,17.500,,6.300,,,
40.300,31.300,23.500,16.500,8.200,,,
56.200,47.800,37.200,22.800,19.600,,,
49.400,35.600,26.700,19.900,15.700,,,
36.200,31.100,24.700,22.700,17.300,,,
46.900,35.900,24.600,,12.900,,,
57.400,46.600,37.600,25.500,17.100,,,
43.300,33.400,24.500,16.500,10.900,,,
,24.900,20.000,,9.900,,,
47.300,37.000,27.100,18.400,12.700,,,
35.700,29.400,22.500,14.800,8.500,,,
37.300,29.600,22.800,14.400,8.600,,,
35.600,29.900,22.600,21.900,16.400,,,
40.600,35.200,29.800,20.300,,,,
61.100,46.800,34.300,21.700,15.700,,,
37.100,32.500,27.800,18.500,,,,
35.600,29.900,23.000,21.900,16.400,,,
49.300,39.400,29.200,19.900,13.500,,,
59.200,40.600,27.800,21.000,15.800,,,
44.700,33.200,24.000,16.500,12.100,,,
39.300,32.100,24.600,16.000,9.600,,,
35.700,30.000,23.000,21.900,16.200,,,
59.900,44.300,31.600,22.400,18.300,,,
60.100,44.500,31.600,22.700,18.400,,,
,24.900,20.000,,9.900,,,
38.600,32.300,22.100,11.400,9.500,,,
34.400,28.700,23.000,21.900,15.700,,,
37.200,29.500,22.300,14.300,8.500,,,
44.400,34.700,25.500,17.500,11.700,,,
37.100,32.500,27.800,18.500,,,,
50.200,35.800,27.300,22.000,17.500,,,
,24.400,20.000,,12.700,,,
47.500,40.000,29.900,16.600,12.700,,,
34.400,28.700,23.000,21.900,15.700,,,
53.400,41.000,27.500,20.500,15.700,,,
