A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
135.500,108.500,84.200,52.700,36.300,13.800,
133.600,104.300,85.200,57.700,41.600,17.200,
,56.900,50.900,44.900,34.800,15.700,
74.900,56.700,43.200,26.800,21.500,10.600,
126.900,100.200,71.800,40.000,30.600,16.400,
72.900,54.400,41.600,26.500,12.700,7.400,
99.400,74.200,61.600,49.000,36.500,14.800,
65.300,47.900,28.100,15.800,9.400,3.500,
140.500,133.700,100.500,76.300,46.300,25.100,
129.800,101.400,73.100,46.100,31.300,16.900,
100.700,81.200,60.400,45.400,34.400,19.200,
,52.500,42.800,32.600,23.300,8.900,
82.900,62.500,48.000,31.900,22.800,8.700,
107.900,79.800,66.500,53.200,39.900,16.100,
,53.800,47.900,34.900,21.300,7.900,
138.800,112.100,95.100,69.800,49.600,18.500,
107.500,87.900,75.700,36.500,26.100,11.000,
,69.100,54.200,31.800,21.700,7.500,
150.900,117.800,88.600,,,22.100,
86.500,71.600,65.400,40.600,28.300,8.600,
117.900,96.000,71.900,46.900,39.100,20.100,
,59.300,45.400,33.600,22.900,12.200,
107.500,87.900,75.700,36.500,26.100,11.000,
97.900,77.500,58.600,38.500,29.700,14.700,
,54.300,46.800,34.000,30.000,9.600,
,66.400,57.400,48.300,36.400,14.600,
,56.900,50.900,44.900,34.800,15.700,
77.000,58.100,46.100,27.800,14.900,8.500,
,70.300,54.900,32.400,22.200,7.800,
118.600,95.900,75.400,54.900,38.600,16.600,
,51.400,42.600,32.600,22.800,8.900,
127.500,100.200,72.400,43.500,31.400,16.700,
96.800,69.300,54.300,32.100,22.100,8.000,
70.200,52.000,39.600,25.800,12.500,7.700,
135.600,102.600,78.400,46.400,33.100,16.900,
,56.400,42.900,28.900,22.100,10.700,
119.800,93.400,69.800,52.700,32.000,17.200,
,34.200,26.300,16.300,8.800,5.000,
94.400,68.900,58.600,48.300,36.400,14.600,
135.600,102.600,78.400,46.400,33.100,16.900,
79.000,52.700,33.400,19.100,12.400,5.100,
134.600,109.000,85.800,62.400,43.900,18.900,
,56.900,50.900,44.900,34.800,15.700,
