"SECRETARIA DE EDEPARTAMENTO DDIVISÃO DE ESTATÍPREÇOS MÉDIOS DE TERRAS AGRÍCOLAS  detalh","TADO DA AGRICULTURA E DO ABASTECIMENTO - SEABECONOMIA RURAL  DERALTICAS BÁSICASmento por caracte?istica e município de 2007 a 2016 em Reais por hectare",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Munícipio,"Tipo deTerra",Classe / Grau,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,,,,,,,,,,,,
,,,,,,,,,,,,
Alto Piquiri,Roxa,Mecanizada,12.000,17.000,18.600,16.500,24.000,22.000,33.000,40.000,40.000,40.000
,,Mecanizável,10.500,15.000,17.000,15.500,22.500,,,,,
,,Não Mecanizável,,,,,,,,,,
,,Inaproveitáveis,,,,,,,,,6.000,10.000
,,,,,,,,,,,,
,Mista,Mecanizada,8.000,15.000,12.500,12.000,18.000,20.000,21.000,25.000,30.000,30.000
,,Mecanizável,6.000,13.000,11.000,11.000,16.500,,,,,
,,Não Mecanizável,,,,,,,,,,
,,Inaproveitáveis,,,,,,,,,,
,,,,,,,,,,,,
,Arenosa,Mecanizada,6.200,7.400,8.200,8.000,10.300,12.400,15.000,18.600,25.000,25.000
,,Mecanizável,5.000,6.000,7.500,7.000,8.800,11.000,13.500,,,
,,Não Mecanizável,,,,,,,,,,
,,Inaproveitáveis,,,,,,,,,,
,,,,,,,,,,,,
Altônia,Arenosa,Mecanizada,6.200,7.438,8.200,8.000,8.264,11.600,16.500,18.600,20.000,21.000
,,Mecanizável,5.000,6.600,7.000,7.000,6.764,10.000,14.800,,,
,,Não Mecanizável,,5.000,5.000,5.000,5.800,6.000,7.400,,12.000,
,,Inaproveitáveis,,,,,,,,8.300,3.600,8.000
,,,,,,,,,,,,
Alvorada do Sul,Roxa,Mecanizada,9.750,9.750,12.190,12.190,14.460,15.470,16.700,31.000,35.120,41.000
,,Mecanizável,8.300,8.300,9.100,9.100,10.120,11.600,12.500,23.250,26.340,30.750
,,Não Mecanizável,6.200,6.200,6.200,6.200,7.400,7.400,8.000,15.500,17.560,20.500
,,Inaproveitáveis,4.100,4.100,4.100,4.100,4.100,4.100,4.400,7.750,8.780,10.000
,,,,,,,,,,,,
,Mista,Mecanizada,8.060,8.060,10.080,10.080,11.960,12.800,13.800,24.800,28.096,33.000
,,Mecanizável,7.315,7.315,8.020,8.020,9.500,10.890,11.700,18.600,21.072,24.000
,,Não Mecanizável,4.959,4.959,4.959,4.959,5.880,5.880,6.300,11.160,14.048,16.500
,,Inaproveitáveis,4.133,4.133,4.100,4.100,4.100,4.100,4.400,7.440,7.024,8.000
,,,,,,,,,,,,
Amaporã,Arenosa,Mecanizada,3.491,4.400,6.611,6.908,7.300,8.100,9.200,10.000,13.910,22.727
Mecanizável,3.078,3.350,5.817,6.078,6.442,7.015,7.962,8.638,11.820,19.091,,
Não Mecanizável,1.743,2.280,3.606,3.768,3.994,4.350,4.937,5.356,7.700,10.454,,
Inaproveitáveis,1.415,2.215,2.740,2.863,3.043,3.313,3.760,4.090,4.376,6.636,,
