"SECRETARIA DE EDEPARTAMENTO DDIVISÃO DE ESTATÍPREÇOS MÉDIOS DE TERRAS AGRÍCOLAS  detalh","TADO DA AGRICULTURA E DO ABASTECIMENTO - SEABECONOMIA RURAL  DERALTICAS BÁSICASmento por caracte?istica e município de 2007 a 2016 em Reais por hectare",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Munícipio,"Tipo deTerra",Classe / Grau,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,,,,,,,,,,,,
Ponta Grossa,Mista,Mecanizada,8.600,10.300,10.800,10.800,11.100,11.650,15.000,22.727,23.500,25.600
,,Mecanizável,5.250,6.300,6.400,6.400,6.550,7.000,8.500,18.200,17.600,18.600
,,Não Mecanizável,3.000,3.600,3.650,3.650,3.720,3.950,5.400,7.300,7.000,7.400
,,Inaproveitáveis,600,720,750,750,800,1.000,1.300,1.460,1.400,1.500
,,,,,,,,,,,,
,Arenosa,Mecanizada,7.500,8.600,9.030,9.030,9.400,9.900,14.000,21.900,22.600,24.600
,,Mecanizável,5.050,5.800,6.090,6.090,6.300,6.800,8.307,18.000,16.900,17.900
,,Não Mecanizável,2.550,2.900,3.050,3.050,3.250,3.580,4.510,7.200,7.000,7.400
,,Inaproveitáveis,650,740,770,770,800,850,1.129,1.440,1.400,1.500
,,,,,,,,,,,,
Pontal do Paraná,Mista,Mecanizada,8.000,8.200,9.500,10.500,12.000,13.500,14.000,16.000,17.000,18.000
,,Mecanizável,4.200,4.350,4.800,7.000,8.500,8.500,8.500,9.000,9.500,9.000
,,Não Mecanizável,1.800,2.000,2.500,3.000,3.500,3.500,3.700,4.000,4.000,4.000
,,Inaproveitáveis,900,920,980,900,950,950,950,1.000,1.250,1.500
,,,,,,,,,,,,
Porecatu,Roxa,Mecanizada,10.300,10.300,10.300,10.300,10.750,10.750,12.400,26.500,29.940,35.000
,Mecanizável,10.300,10.300,10.300,10.300,10.750,10.750,12.400,19.875,22.455,26.000,
,Não Mecanizável,3.600,3.600,4.320,4.320,4.500,4.500,5.200,13.250,14.970,16.700,
,Inaproveitáveis,3.600,3.600,4.320,4.320,4.500,4.500,4.500,6.625,6.625,7.800,
,,,,,,,,,,,,
Mista,Mecanizada,9.000,9.000,9.000,9.000,9.400,9.400,10.850,21.200,23.952,27.500,
,Mecanizável,9.000,9.000,9.000,9.000,9.400,9.400,10.850,15.900,17.964,20.500,
,Não Mecanizável,3.600,3.600,4.320,4.320,4.500,4.500,5.200,9.540,11.976,13.500,
,Inaproveitáveis,3.600,3.600,4.320,4.320,4.500,4.500,5.200,6.360,5.988,6.700,
,,,,,,,,,,,,
Arenosa,Mecanizada,8.000,8.000,8.000,8.000,8.350,8.350,9.630,16.960,19.162,22.000,
Mecanizável,8.000,8.000,8.000,8.000,8.350,8.350,9.630,12.720,14.371,16.500,,
Não Mecanizável,3.600,3.600,4.320,4.320,4.500,4.500,5.200,8.480,9.581,11.000,,
Inaproveitáveis,3.600,3.600,4.320,4.320,4.500,4.500,5.200,5.100,4.790,5.500,,
,,,,,,,,,,,,
