"SECRETARIA DE EDEPARTAMENTO DDIVISÃO DE ESTATÍPREÇOS MÉDIOS DE TERRAS AGRÍCOLAS  detalh","TADO DA AGRICULTURA E DO ABASTECIMENTO - SEABECONOMIA RURAL  DERALTICAS BÁSICASmento por caracte?istica e município de 2007 a 2016 em Reais por hectare",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Munícipio,"Tipo deTerra",Classe / Grau,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,,,,,,,,,,,,
Palotina,Roxa,Mecanizada,10.459,13.636,13.636,22.933,24.768,25.200,27.720,29.660,35.800,40.000
,,Mecanizável,,,,,,,,,,
,,Não Mecanizável,8.366,11.024,11.024,9.174,9.908,10.600,12.500,13.375,16.500,20.700
,,Inaproveitáveis,4.132,5.082,5.082,7.645,8.257,8.200,7.298,7.800,7.000,8.200
,,,,,,,,,,,,
,Arenosa,Mecanizada,7.321,13.214,13.214,18.345,19.183,19.500,21.450,22.950,22.320,24.600
,,Mecanizável,,,,,,,,,,
,,Não Mecanizável,5.856,10.673,10.673,7.644,8.256,9.000,9.900,10.486,12.000,16.000
,,Inaproveitáveis,4.132,5.082,5.082,6.115,6.604,6.900,6.311,6.750,4.300,7.200
,,,,,,,,,,,,
Paraíso do Norte,Roxa,Mecanizada,7.290,7.500,8.036,8.036,9.723,10.695,22.350,24.000,33.230,41.322
,,Mecanizável,,,,,,,,,,
,,Não Mecanizável,,,,,,,,,,
,,Inaproveitáveis,,,,,,,,,,
,,,,,,,,,,,,
,Mista,Mecanizada,5.785,6.200,6.641,6.641,8.035,8.838,9.722,13.848,19.170,33.057
,,Mecanizável,,,,,,,,,,
,,Não Mecanizável,,,,,,,,,,
,,Inaproveitáveis,2.174,2.415,2.587,2.587,3.130,3.130,3.443,3.753,3.996,
,,,,,,,,,,,,
,Arenosa,Mecanizada,5.206,5.785,6.198,6.198,7.500,8.250,9.075,9.892,14.150,24.793
,,Mecanizável,4.586,5.165,5.534,5.534,6.696,7.365,8.101,8.830,12.030,12.396
,,Não Mecanizável,,,,,,,,,,
,,Inaproveitáveis,2.572,3.151,3.376,3.376,4.084,4.084,3.443,4.896,5.385,4.462
,,,,,,,,,,,,
Paranacity,Mista,Mecanizada,5.785,5.785,6.198,6.198,7.025,7.727,8.429,11.900,16.400,33.057
,Mecanizável,,,,,,,,,,,
,Não Mecanizável,,,,,,,,,,,
,Inaproveitáveis,,,,,,,,,4.100,5.950,
,,,,,,,,,,,,
Arenosa,Mecanizada,4.959,4.959,5.372,5.372,6.198,6.818,7.438,8.500,11.820,22.727,
Mecanizável,,,,,,,,,,,,
Não Mecanizável,,,,,,,,,,,,
Inaproveitáveis,,,,,,,,,,,,
,,,,,,,,,,,,
