Unnamed: 0,Unnamed: 1,Mecanizada,2.400,2.900,3.000,3.300,6.200,10.000,14.500,11.000,10.000.1
,,Mecanizável,2.000,2.400,2.500,2.800,5.800,8.000,13.500,10.000,9.000
,Roxa,,,,,,,,,,
,,Não Mecanizável,-,-,-,-,-,-,-,,
,,Inaproveitáveis,-,-,-,-,-,-,-,,
,,Mecanizada,2.000,2.050,2.500,2.600,4.500,8.200,12.500,8.000,7.500
,,Mecanizável,1.700,1.800,1.800,2.000,4.100,6.500,9.500,7.000,6.500
Mariluz,Mista,,,,,,,,,,
,,Não Mecanizável,-,-,-,-,-,-,-,,
,,Inaproveitáveis,-,-,-,-,-,-,-,,
,,Mecanizada,1.500,1.600,1.650,2.000,3.300,6.000,8.500,6.200,6.000
,,Mecanizável,1.300,1.350,1.400,1.500,2.900,5.000,7.500,5.500,5.000
,Arenosa,,,,,,,,,,
,,Não Mecanizável,-,-,-,-,-,-,-,,
,,Inaproveitáveis,-,-,-,-,-,-,-,,
