Município,A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
43.900,38.800,31.000,16.500,12.400,,,
46.400,35.800,26.600,17.900,12.300,,,
55.900,44.500,35.200,24.400,20.000,,,
,30.300,26.000,22.000,17.900,,,
35.600,27.400,21.000,12.000,9.900,,,
56.100,46.400,33.500,19.800,15.500,,,
48.800,38.800,30.300,21.400,10.600,,,
49.500,33.100,24.100,22.100,16.700,,,
29.700,25.000,19.500,9.700,5.600,,,
59.200,43.200,31.000,22.300,18.100,,,
62.600,46.800,34.300,22.900,15.700,,,
53.400,41.000,27.500,20.500,15.700,,,
34.800,29.100,23.000,21.900,16.000,,,
38.500,30.700,23.600,15.300,9.400,,,
45.900,36.600,30.200,22.300,18.000,,,
,20.200,16.500,,10.200,,,
65.500,55.000,45.900,34.800,25.500,,,
35.800,29.300,25.300,12.000,8.800,,,
,31.700,22.800,,10.500,,,
62.600,46.400,32.800,23.200,18.400,,,
43.200,40.300,23.100,15.500,9.200,,,
56.100,47.800,37.200,22.700,19.500,,,
,26.300,20.700,,8.900,,,
35.800,29.300,25.300,12.000,8.800,,,
51.700,41.100,31.600,17.100,14.700,,,
47.500,32.400,22.600,21.300,16.700,,,
,27.600,24.200,22.000,17.900,,,
,33.000,27.800,22.900,17.900,,,
43.100,32.200,25.300,14.400,9.800,,,
,29.100,20.800,,11.000,,,
53.100,37.900,28.700,19.600,15.800,,,
35.600,29.900,23.000,22.100,15.700,,,
56.100,46.600,34.000,21.700,15.800,,,
42.600,32.300,23.800,15.700,11.200,,,
40.300,31.300,24.100,16.900,8.400,,,
62.900,49.200,36.600,23.100,16.600,,,
,31.500,21.800,,11.400,,,
58.600,43.100,30.800,21.600,17.400,,,
,21.900,17.200,,6.200,,,
49.300,39.300,27.800,24.700,17.900,,,
62.900,49.200,36.600,23.100,16.600,,,
38.700,26.700,17.800,9.600,6.800,,,
58.000,43.700,32.900,27.400,18.300,,,
,28.500,25.100,22.000,17.900,,,
29.800,23.800,18.000,8.300,5.400,,,
40.600,35.200,29.800,20.300,,,,
36.700,30.300,23.300,15.400,9.200,,,
42.500,32.400,24.100,15.700,11.300,,,
59.200,43.200,30.400,22.300,17.600,,,
