"SECRETARIA DE EDEPARTAMENTO DDIVISÃO DE ESTATÍPREÇOS MÉDIOS DE TERRAS AGRÍCOLAS  detalh","TADO DA AGRICULTURA E DO ABASTECIMENTO - SEABECONOMIA RURAL  DERALTICAS BÁSICASmento por caracte?istica e município de 2007 a 2016 em Reais por hectare",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Munícipio,"Tipo deTerra",Classe / Grau,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,,,,,,,,,,,,
Itaperuçu,Mista,Mecanizada,1.777,2.107,2.634,3.099,3.425,3.843,4.545,5.308,8.264,10.182
,Mecanizável,1.777,1.777,2.107,2.479,2.740,3.099,3.636,4.246,6.612,8.145,
,Não Mecanizável,405,413,517,537,620,694,1.488,1.805,2.810,3.462,
,Inaproveitáveis,64,75,92,103,111,124,868,1.168,1.818,2.240,
,,,,,,,,,,,,
Itaúna do Sul,Arenosa,Mecanizada,3.700,4.300,5.500,5.885,6.400,8.000,9.920,11.309,15.830,29.727
,Mecanizável,3.256,3.550,4.840,5.179,5.632,7.040,8.730,9.952,13.460,24.970,
,Não Mecanizável,1.820,2.485,3.010,3.221,3.604,4.505,5.586,6.368,8.920,13.685,
,Inaproveitáveis,1.456,1.780,2.287,2.447,2.703,3.379,4.190,4.776,5.143,9.305,
,,,,,,,,,,,,
Ivaí,Mista,Mecanizada,7.400,8.900,8.950,9.100,9.490,9.800,11.000,18.500,20.600,22.450
,Mecanizável,4.900,6.100,6.150,6.300,6.600,6.850,8.435,14.800,15.450,16.300,
,Não Mecanizável,2.150,2.580,2.610,2.710,2.840,2.990,3.876,5.920,6.000,6.350,
,Inaproveitáveis,800,920,940,1.000,1.050,1.200,1.320,1.184,1.200,1.300,
,,,,,,,,,,,,
,Arenosa,Mecanizada,6.400,7.300,7.470,7.550,7.920,8.280,9.200,17.750,19.800,21.600
,Mecanizável,4.700,5.300,5.430,5.550,5.810,6.100,8.270,14.500,14.800,15.600,
,Não Mecanizável,1.900,2.150,2.280,2.300,2.410,2.700,3.876,5.800,6.000,6.350,
,Inaproveitáveis,500,560,610,650,670,700,1.166,1.160,1.200,1.300,
,,,,,,,,,,,,
Ivaiporã,Mista,Mecanizada,7.000,7.900,8.690,8.690,9.204,10.584,15.290,19.041,22.300,25.600
,Mecanizável,5.000,5.500,6.050,6.050,6.408,7.369,9.998,10.390,18.200,23.100,
,Não Mecanizável,2.997,3.300,3.630,3.630,3.845,4.421,7.264,7.126,9.600,13.300,
,Inaproveitáveis,1.575,1.738,1.912,1.912,2.025,2.328,2.724,3.990,4.100,4.600,
,,,,,,,,,,,,
Ivaté,Arenosa,Mecanizada,6.200,8.264,8.200,8.200,10.000,10.330,14.500,20.000,20.000,21.000
,Mecanizável,5.000,7.438,7.000,7.000,9.000,9.000,13.000,,,,
,Não Mecanizável,,,,,,,,,,,
,Inaproveitáveis,,,,,,,,,3.600,8.000,
,,,,,,,,,,,,
Ivatuba,Roxa,Mecanizada,13.000,16.000,16.000,17.600,26.600,30.000,33.000,44.000,48.400,58.000
Mecanizável,,,,,,,,,,,,
Não Mecanizável,6.500,8.000,8.000,8.800,13.300,15.000,16.500,22.000,24.200,29.000,,
Inaproveitáveis,1.300,1.600,1.600,1.760,2.660,3.000,3.300,4.400,8.710,9.500,,
,,,,,,,,,,,,
