Município,A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
61.800,48.600,32.200,20.600,15.300,,,
48.100,44.200,27.400,18.600,10.900,,,
55.800,42.800,33.000,27.300,20.900,,,
61.500,49.100,35.800,24.300,16.700,,,
39.700,32.900,24.300,14.600,8.400,,,
63.800,50.400,37.200,25.200,17.600,,,
,36.600,26.200,,13.100,,,
49.700,35.600,22.600,12.800,9.100,,,
,25.300,20.100,,11.100,,,
43.200,34.400,26.300,16.700,10.600,,,
35.500,28.000,22.300,14.300,8.100,,,
45.800,38.100,30.900,20.900,13.800,,,
46.000,35.000,27.200,19.200,13.200,,,
46.900,36.300,25.600,,13.200,,,
,23.900,18.600,,6.700,,,
41.200,32.000,24.100,16.900,8.400,,,
55.800,47.100,36.700,22.600,19.100,,,
56.300,40.700,30.800,22.800,18.000,,,
38.900,32.800,26.000,23.500,17.900,,,
46.900,36.300,25.600,,13.200,,,
58.300,46.800,37.600,25.800,17.600,,,
55.000,42.500,31.200,20.800,13.700,,,
,27.900,22.200,,11.100,,,
60.700,47.900,35.400,23.700,16.200,,,
41.000,33.500,25.100,17.400,10.300,,,
44.000,34.900,26.400,17.300,10.700,,,
38.300,31.800,24.300,22.700,17.200,,,
42.000,36.000,30.400,21.100,,,,
64.200,50.000,36.000,21.800,15.700,,,
38.600,33.300,28.400,19.400,,,,
38.300,31.800,24.600,22.700,17.200,,,
61.500,49.100,35.800,24.300,16.700,,,
67.600,50.200,35.000,23.000,16.800,,,
50.000,39.500,24.300,22.800,16.500,,,
44.100,35.800,27.600,18.200,11.500,,,
38.400,31.800,24.600,22.800,17.000,,,
69.600,57.600,37.000,24.100,18.200,,,
76.500,57.600,40.800,26.500,,,,
,27.900,22.200,,11.100,,,
42.900,35.700,24.100,13.200,10.800,,,
37.400,30.700,24.600,22.800,16.600,,,
43.500,34.400,26.000,17.000,10.500,,,
58.600,46.300,33.700,22.900,15.400,,,
38.600,33.300,28.400,19.400,,,,
51.200,37.100,28.700,22.800,17.600,,,
,28.400,22.700,,14.400,,,
59.600,49.800,37.300,20.900,15.800,,,
37.400,30.700,24.600,22.800,16.600,,,
53.800,41.900,29.100,21.500,16.700,,,
