Boa Esperança,Roxa,Mecanizada,3.720,3.800,4.370,4.720,6.844,11.668,14.988,11.298,10.692
,Mecanizável,2.800,2.100,2.415,2.608,3.912,6.679,10.491,9.669,7.386,
,Não Mecanizável,2.350,1.500,1.650,1.782,2.851,4.865,5.246,4.587,4.752,
,Inaproveitáveis,1.400,850,350,378,616,1.072,1.049,1.230,1.069,
,,,,,,,,,,,
Mista,Mecanizada,2.730,3.000,3.000,3.240,5.508,9.365,12.124,10.103,8.006,
Mecanizável,-,1.700,1.700,1.836,3.121,5.307,8.628,8.182,5.992,,
Não Mecanizável,-,1.000,1.100,1.188,2.020,3.434,4.746,4.587,3.771,,
Inaproveitáveis,-,-,250,270,496,843,986,1.010,801,,
