Unnamed: 0,Unnamed: 1,Mecanizada,13.264,20.661,22.695,23.500,24.500,26.880,28.000,40.909,46.500,58.000
,,Mecanizável,8.512,16.529,15.885,16.500,18.250,22.479,23.600,34.772,37.200,49.300
,Roxa,,,,,,,,,,,
,,Não Mecanizável,5.868,10.744,10.100,10.000,10.500,11.680,11.680,13.680,16.000,20.000
,,Inaproveitáveis,1.426,1.641,1.630,1.600,1.650,4.000,4.000,4.500,4.800,5.000
Rancho Alegre,,,,,,,,,,,,
d'Oeste,,,,,,,,,,,,
,,Mecanizada,9.008,18.523,18.800,17.672,18.220,21.000,22.260,34.772,39.000,46.400
,,Mecanizável,6.612,15.289,15.700,15.100,15.830,17.530,18.200,29.556,31.200,39.440
,Mista,,,,,,,,,,,
,,Não Mecanizável,4.793,9.000,9.500,8.930,9.122,9.500,10.000,10.500,12.500,13.000
,,Inaproveitáveis,1.033,1.250,1.240,1.150,1.250,3.200,3.500,4.000,4.000,4.000
