Unnamed: 0,Unnamed: 1,Mecanizada,2.300,2.686,3.050,3.100,3.720,8.470,8.008,8.344,7.930
,,Mecanizável,-,-,-,-,-,-,-,,
,Roxa,,,,,,,,,,
,,Não Mecanizável,1.100,1.007,1.183,1.300,1.600,3.642,3.363,3.779,3.600
,,Inaproveitáveis,150,100,177,300,370,847,800,830,800
Ribeirão do,,,,,,,,,,,
Pinhal,,,,,,,,,,,
,,Mecanizada,1.500,1.291,1.487,1.700,1.950,6.000,6.006,6.700,6.200
,,Mecanizável,-,-,-,-,-,-,-,,
,Mista,,,,,,,,,,
,,Não Mecanizável,900,785,807,1.050,1.200,3.200,2.822,3.020,2.870
,,Inaproveitáveis,200,80,136,170,190,600,600,670,620
