Unnamed: 0,Mecanizada,3.894,5.260,6.700,7.000,7.500,8.100,9.950,11.740,16.180,29.800
Diamante do,Mecanizável,3.491,4.870,5.896,6.100,6.600,7.128,8.445,9.965,13.750,25.500
MistaNorte,Não Mecanizável,1.999,2.698,3.966,4.150,4.440,4.796,5.683,6.700,7.170,12.355
,Inaproveitáveis,1.845,2.490,3.014,3.155,3.376,3.646,3.980,5.097,5.000,7.137
