A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
,59.200,43.800,33.200,28.400,13.800,
108.300,80.900,67.200,53.500,39.900,16.200,
97.800,77.600,58.200,42.500,32.400,13.700,
,53.600,44.900,34.700,30.500,9.800,
86.500,62.700,49.600,30.400,22.400,8.600,
129.800,96.900,73.100,44.300,31.300,16.900,
,59.300,45.400,33.600,22.900,12.200,
,58.400,44.200,32.400,21.600,11.100,
129.500,104.900,82.500,60.000,42.200,18.100,
113.200,84.500,70.300,55.900,41.800,16.900,
101.600,76.600,60.500,40.800,27.700,14.500,
76.600,56.600,42.200,27.200,13.600,8.000,
80.400,66.600,39.500,30.900,22.600,11.200,
99.100,78.200,54.200,35.600,22.900,8.300,
82.900,62.300,48.800,32.200,20.800,8.600,
96.400,77.500,57.600,42.000,32.300,14.200,
127.800,99.600,74.400,56.400,34.100,18.400,
,52.300,43.400,32.500,22.900,8.900,
102.600,77.300,63.200,46.100,,11.000,
106.400,84.900,63.700,41.700,34.800,17.100,
132.600,107.300,84.200,61.300,43.000,18.500,
96.400,77.500,57.600,42.000,32.300,14.200,
,60.900,50.300,35.600,27.400,10.900,
60.800,47.500,36.600,22.800,14.900,7.100,
133.200,107.900,84.800,61.700,43.400,18.700,
120.600,94.000,76.800,53.400,38.000,17.400,
113.700,87.600,71.500,51.000,35.900,16.400,
65.000,49.700,37.500,23.600,11.300,6.600,
126.500,99.200,78.600,48.100,31.700,12.900,
130.200,106.000,83.400,42.100,29.400,13.300,
100.500,84.000,50.800,39.600,29.700,14.700,
129.800,97.300,73.100,41.300,31.300,16.900,
,52.600,46.600,40.600,34.800,15.700,
133.600,104.300,85.200,57.700,41.600,17.200,
123.100,89.000,69.600,44.000,33.600,17.500,
,53.300,43.000,33.100,22.900,8.900,
122.900,74.000,55.200,44.900,39.100,15.700,
138.800,112.100,95.100,69.800,49.600,18.500,
138.900,118.000,94.900,48.700,34.300,16.600,
135.100,102.600,78.400,47.900,33.100,16.900,
136.700,110.600,87.300,54.400,37.200,15.100,
87.500,68.300,51.600,37.500,25.300,7.900,
101.600,76.600,60.500,40.800,27.700,14.500,
