A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
,75.200,58.200,43.700,35.700,17.300,
115.300,86.100,71.300,56.600,42.200,17.300,
109.000,85.300,72.900,51.400,42.200,18.400,
,63.200,52.400,40.900,32.100,10.800,
121.300,90.400,76.000,62.300,48.800,15.800,
127.300,94.000,72.300,45.500,31.800,17.100,
,72.300,56.200,43.000,34.600,15.600,
,77.000,58.200,43.200,35.400,15.900,
127.500,104.000,81.900,59.800,44.900,22.100,
119.300,89.500,75.200,60.000,42.900,18.100,
120.700,96.900,80.400,58.300,50.300,20.700,
82.400,59.400,44.500,30.200,17.800,7.800,
94.800,72.500,46.200,34.400,24.200,10.000,
103.000,87.000,73.400,37.600,27.000,10.500,
117.300,87.000,72.100,59.100,45.800,15.800,
108.100,82.900,72.800,51.400,42.200,18.400,
126.200,98.400,73.800,54.900,33.300,18.100,
,70.600,49.700,46.100,38.100,12.500,
109.700,79.500,66.200,48.700,,11.900,
124.500,101.900,84.000,70.400,59.200,21.200,
127.100,103.500,81.400,59.300,44.400,21.900,
108.100,82.900,72.800,51.400,42.200,18.400,
83.000,66.400,56.000,48.300,40.100,14.200,
93.100,69.700,59.900,26.100,16.200,10.200,
123.800,100.900,79.500,58.000,43.600,21.500,
130.300,99.900,82.800,57.500,41.500,17.300,
128.800,102.900,85.400,56.500,42.000,17.100,
77.400,56.200,42.700,29.600,17.200,7.700,
124.600,97.200,77.300,47.200,31.100,12.600,
132.600,102.300,83.500,45.500,29.500,13.400,
109.800,87.100,56.500,43.600,32.700,11.100,
127.300,94.800,72.300,41.800,31.800,17.100,
,50.700,43.900,40.900,35.300,15.900,
131.500,103.500,88.000,58.400,42.800,17.600,
145.000,113.600,93.400,63.200,50.300,25.200,
,67.700,56.900,45.000,35.400,11.700,
103.400,74.800,52.900,45.300,39.700,15.900,
151.200,120.200,102.300,72.900,53.900,20.400,
136.100,105.000,85.700,46.700,30.300,13.800,
132.600,100.100,78.600,49.200,34.500,17.100,
126.000,101.100,79.800,48.900,32.800,13.300,
90.900,72.100,52.600,37.400,27.900,9.300,
120.700,96.900,80.400,58.300,50.300,20.700,
