"SECRETARIA DE EDEPARTAMENTO DDIVISÃO DE ESTATÍPREÇOS MÉDIOS DE TERRAS AGRÍCOLAS  detalh","TADO DA AGRICULTURA E DO ABASTECIMENTO - SEABECONOMIA RURAL  DERALTICAS BÁSICASmento por caracte?istica e município de 2007 a 2016 em Reais por hectare",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Munícipio,"Tipo deTerra",Classe / Grau,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,,,,,,,,,,,,
"Ouro Verde doOeste",Roxa,Mecanizada,12.396,14.400,14.400,22.900,24.732,25.000,27.500,34.000,38.200,43.000
,Mecanizável,8.264,13.500,13.500,18.300,19.764,20.800,22.880,28.900,32.079,35.280,
,Não Mecanizável,6.198,7.260,7.260,9.173,9.906,10.330,11.363,19.200,19.500,21.450,
,Inaproveitáveis,4.123,6.000,6.000,9.173,9.906,9.200,8.188,10.000,7.400,9.300,
,,,,,,,,,,,,
Paiçandu,Roxa,Mecanizada,14.500,17.800,17.800,19.600,30.000,33.000,36.500,44.000,48.400,58.000
,Mecanizável,,,,,,,,,,,
,Não Mecanizável,7.250,8.900,8.900,9.800,15.000,16.500,18.250,22.000,24.200,29.000,
,Inaproveitáveis,1.450,1.780,1.780,1.960,3.000,3.300,3.650,4.400,8.710,9.500,
,,,,,,,,,,,,
Palmas,Mista,Mecanizada,6.800,9.500,11.200,10.500,12.800,13.000,17.500,19.000,19.500,24.000
,Mecanizável,3.800,6.000,6.800,6.500,7.000,7.600,10.150,10.500,10.800,16.000,
,Não Mecanizável,2.100,2.800,3.000,2.800,3.000,3.200,4.200,4.200,4.200,5.000,
,Inaproveitáveis,500,800,850,800,850,900,1.100,1.100,1.100,1.200,
,,,,,,,,,,,,
Palmeira,Mista,Mecanizada,7.600,9.500,9.500,10.000,10.000,11.000,24.800,26.040,27.732,30.500
,Mecanizável,5.500,7.200,7.200,7.200,7.200,8.000,18.600,15.530,16.540,18.000,
,Não Mecanizável,2.000,2.600,2.600,2.600,2.600,2.900,6.100,6.405,6.820,7.500,
,Inaproveitáveis,700,800,800,800,800,850,1.000,1.050,1.120,1.230,
,,,,,,,,,,,,
,Arenosa,Mecanizada,7.200,9.300,9.300,9.500,9.500,10.500,23.967,25.165,26.800,29.500
,Mecanizável,5.300,6.900,6.900,6.900,6.900,7.600,17.768,18.656,19.900,22.000,
,Não Mecanizável,1.700,2.200,2.200,2.200,2.200,2.400,6.000,6.300,6.709,7.380,
,Inaproveitáveis,650,800,800,800,800,850,1.227,1.050,1.120,1.210,
,,,,,,,,,,,,
Palmital,Mista,Mecanizada,5.400,7.850,12.500,12.400,14.500,16.300,17.500,20.300,20.900,24.000
Mecanizável,3.800,5.400,8.200,8.600,9.500,10.400,11.900,14.000,14.500,15.900,,
Não Mecanizável,3.300,3.700,5.400,5.700,6.300,7.600,8.400,9.100,9.600,11.000,,
Inaproveitáveis,800,1.200,2.500,3.500,3.700,3.900,3.900,4.100,3.900,3.900,,
,,,,,,,,,,,,
