"SECRETARIA DE EDEPARTAMENTO DDIVISÃO DE ESTATÍPREÇOS MÉDIOS DE TERRAS AGRÍCOLAS  detalh","TADO DA AGRICULTURA E DO ABASTECIMENTO - SEABECONOMIA RURAL  DERALTICAS BÁSICASmento por caracte?istica e município de 2007 a 2016 em Reais por hectare",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Munícipio,"Tipo deTerra",Classe / Grau,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,,,,,,,,,,,,
Tomazina,Mista,Mecanizada,6.983,6.983,8.182,8.182,8.884,10.331,12.521,13.637,20.330,22.727
,Mecanizável,,,,,,,,,,,
,Não Mecanizável,3.802,3.802,3.802,3.802,3.801,4.410,5.696,5.715,9.330,10.355,
,Inaproveitáveis,1.071,1.071,1.071,1.071,1.071,1.141,1.369,1.294,2.050,2.275,
,,,,,,,,,,,,
"Três Barras doParaná",Mista,Mecanizada,11.157,17.768,15.990,15.355,16.900,18.595,21.487,25.205,25.205,33.057
,Mecanizável,8.925,14.214,12.800,10.702,,,,20.000,20.000,26.208,
,Não Mecanizável,3.719,6.219,5.500,5.300,6.800,6.800,9.297,9.297,9.297,12.179,
,Inaproveitáveis,3.719,6.219,5.500,5.300,5.300,5.300,5.300,5.600,5.040,5.798,
,,,,,,,,,,,,
Tunas do Paraná,Mista,Mecanizada,975,2.050,2.317,2.686,2.780,3.099,3.802,4.726,6.612,10.182
,Mecanizável,975,1.570,1.853,2.149,2.224,2.500,2.975,3.781,5.289,8.145,
,Não Mecanizável,347,353,413,413,475,537,1.157,1.607,2.248,3.462,
,Inaproveitáveis,52,60,69,87,80,91,661,1.040,1.455,2.240,
,,,,,,,,,,,,
"Tuneiras doOeste",Roxa,Mecanizada,8.500,11.200,12.000,12.000,12.396,15.702,20.661,24.793,24.793,35.000
,Mecanizável,7.500,9.200,9.200,9.200,9.200,10.331,14.050,16.860,16.860,,
,Não Mecanizável,,5.000,5.000,5.000,5.000,5.579,7.851,9.421,9.421,,
,Inaproveitáveis,,,,,,,,,3.720,10.000,
,,,,,,,,,,,,
,Mista,Mecanizada,8.000,9.000,10.500,10.330,10.330,14.463,16.529,16.860,18.595,30.000
,Mecanizável,7.000,7.000,7.000,7.000,7.000,10.331,12.719,14.876,14.876,,
,Não Mecanizável,,6.000,6.000,6.000,6.000,6.612,7.438,8.368,8.368,,
,Inaproveitáveis,,,,,,,,,,,
,,,,,,,,,,,,
,Arenosa,Mecanizada,6.600,7.400,8.200,8.246,8.246,12.397,15.702,17.769,17.769,20.000
,Mecanizável,5.600,6.400,6.000,6.000,6.000,6.612,12.719,14.215,14.215,,
,Não Mecanizável,,5.000,5.000,5.000,5.000,9.198,7.380,8.351,8.351,,
,Inaproveitáveis,,,,,,,,,,,
,,,,,,,,,,,,
Tupãssi,Roxa,Mecanizada,14.000,15.703,15.703,22.273,24.055,24.173,27.300,34.000,38.500,43.000
Mecanizável,12.000,13.320,13.320,19.330,20.875,20.100,22.770,27.800,32.000,36.000,,
Não Mecanizável,9.958,11.054,11.054,9.214,9.952,10.900,14.000,16.900,18.200,20.000,,
Inaproveitáveis,7.438,8.257,8.257,8.446,9.121,10.900,6.473,6.600,7.500,7.600,,
,,,,,,,,,,,,
