"SECRETARIA DE EDEPARTAMENTO DDIVISÃO DE ESTATÍPREÇOS MÉDIOS DE TERRAS AGRÍCOLAS  detalh","TADO DA AGRICULTURA E DO ABASTECIMENTO - SEABECONOMIA RURAL  DERALTICAS BÁSICASmento por caracte?istica e município de 2007 a 2016 em Reais por hectare",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Munícipio,"Tipo deTerra",Classe / Grau,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,,,,,,,,,,,,
"São Jerônimo daSerra",Roxa,Mecanizada,8.884,9.917,10.331,10.785,11.777,12.810,14.463,16.322,23.966,26.364
,,Mecanizável,,,,,,,,,,
,,Não Mecanizável,4.340,4.504,4.669,4.876,5.372,5.785,6.612,7.562,11.570,12.975
,,Inaproveitáveis,888,917,920,938,1.000,1.060,1.198,1.340,1.735,2.083
,,,,,,,,,,,,
,Mista,Mecanizada,6.400,7.107,7.231,7.562,8.347,9.090,10.331,11.777,17.768,20.041
,,Mecanizável,,,,,,,,,,
,,Não Mecanizável,3.000,3.120,3.388,3.512,3.760,4.545,5.165,5.785,10.330,11.983
,,Inaproveitáveis,640,661,665,678,818,867,992,1.100,1.549,1.917
,,,,,,,,,,,,
São João,Mista,Mecanizada,9.500,15.000,17.000,16.800,18.500,20.000,29.800,30.750,31.000,36.000
,,Mecanizável,6.600,11.000,13.000,13.000,13.750,15.000,21.500,22.150,23.000,
,,Não Mecanizável,4.000,6.000,7.500,7.000,7.500,8.100,11.900,12.200,12.200,13.300
,,Inaproveitáveis,700,1.100,1.300,1.500,1.700,2.000,2.300,2.400,2.400,2.500
,,,,,,,,,,,,
"São João doCaiuá",Arenosa,Mecanizada,4.132,4.959,5.165,5.165,5.578,6.136,7.056,8.114,11.600,22.727
,,Mecanizável,3.046,3.872,4.026,4.026,4.347,4.781,5.498,6.322,11.110,11.363
,,Não Mecanizável,,,,,,,,,6.500,
,,Inaproveitáveis,,,,,,,,,3.422,4.090
,,,,,,,,,,,,
São João do Ivaí,Roxa,Mecanizada,7.040,7.940,8.734,8.734,9.250,10.637,15.367,19.180,29.600,31.200
,Mecanizável,4.956,5.300,5.830,5.830,6.175,7.101,9.634,10.330,24.200,28.600,
,Não Mecanizável,3.150,3.500,3.850,3.850,4.078,4.093,6.725,7.290,14.800,20.000,
,Inaproveitáveis,1.665,1.800,1.980,1.980,2.097,2.411,2.821,3.990,5.300,6.800,
,,,,,,,,,,,,
Mista,Mecanizada,,,,,,,,,22.700,27.500,
Mecanizável,,,,,,,,,18.200,23.100,,
Não Mecanizável,,,,,,,,,10.100,13.700,,
Inaproveitáveis,,,,,,,,,4.200,4.600,,
,,,,,,,,,,,,
