"SECRETARIA DE EDEPARTAMENTO DDIVISÃO DE ESTATÍPREÇOS MÉDIOS DE TERRAS AGRÍCOLAS  detalh","TADO DA AGRICULTURA E DO ABASTECIMENTO - SEABECONOMIA RURAL  DERALTICAS BÁSICASmento por caracte?istica e município de 2007 a 2016 em Reais por hectare",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Munícipio,"Tipo deTerra",Classe / Grau,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,,,,,,,,,,,,
"Santa Terezinhade Itaipu",Roxa,Mecanizada,13.700,24.385,24.385,24.385,24.385,24.385,30.830,36.165,37.973,42.150
,Mecanizável,,,,,,,,30.000,31.500,34.970,
,Não Mecanizável,6.850,11.478,11.478,11.478,11.478,11.478,13.200,15.484,16.258,18.045,
,Inaproveitáveis,5.000,8.609,9.500,9.500,9.500,9.500,9.500,11.000,6.960,7.656,
,,,,,,,,,,,,
"Santana doItararé",Mista,Mecanizada,5.579,6.198,8.884,8.884,8.884,10.331,12.562,11.570,16.860,18.500
,Mecanizável,,,,,,,,,,35.360,
,Não Mecanizável,3.842,3.842,3.842,3.842,4.149,4.419,5.700,6.156,7.100,7.900,
,Inaproveitáveis,882,882,882,882,952,1.019,1.314,1.364,1.750,2.275,
,,,,,,,,,,,,
"Santo Antônio daPlatina",Roxa,Mecanizada,7.796,7.796,7.796,7.796,7.795,8.303,8.805,8.805,10.560,14.315
,Mecanizável,,,,,,,,,,,
,Não Mecanizável,3.509,3.509,3.509,3.509,3.508,3.737,4.223,4.223,4.603,6.240,
,Inaproveitáveis,1.560,1.560,1.560,1.560,1.560,1.661,1.744,1.884,2.054,2.411,
,,,,,,,,,,,,
,Mista,Mecanizada,5.686,5.686,5.686,5.686,5.686,6.056,6.425,6.425,7.400,12.264
,Mecanizável,,,,,,,,,,,
,Não Mecanizável,2.941,2.941,2.941,2.941,2.940,3.132,3.289,3.552,3.872,5.778,
,Inaproveitáveis,920,920,920,920,920,980,1.029,1.111,1.211,1.667,
,,,,,,,,,,,,
"Santo Antônio doCaiuá",Arenosa,Mecanizada,4.132,4.959,5.165,5.165,5.578,6.136,7.056,8.114,11.600,22.727
,Mecanizável,3.046,3.872,4.026,4.026,4.347,4.781,5.498,6.322,12.110,11.363,
,Não Mecanizável,,,,,,,,,6.500,,
,Inaproveitáveis,1.479,2.305,2.397,2.397,2.588,2.588,2.976,3.422,3.422,4.090,
,,,,,,,,,,,,
"Santo Antônio doParaíso",Roxa,Mecanizada,9.504,10.620,10.744,11.198,12.314,13.430,15.083,16.942,24.793,27.273
,Mecanizável,,,,,,,,,,,
,Não Mecanizável,4.752,4.959,5.165,5.331,5.992,6.405,7.231,8.058,11.776,13.182,
,Inaproveitáveis,950,983,985,1.004,1.033,1.095,1.260,1.400,1.766,2.107,
,,,,,,,,,,,,
"Santo Antônio doSudoeste",Mista,Mecanizada,9.000,14.000,16.080,16.500,18.000,25.000,28.000,33.000,36.000,41.000
Mecanizável,,,,,,,22.400,26.400,28.000,32.000,,
Não Mecanizável,4.000,5.000,5.200,6.300,6.800,8.500,11.000,12.300,12.400,14.000,,
Inaproveitáveis,920,1.000,1.000,1.000,1.100,1.400,1.680,2.100,2.100,2.400,,
,,,,,,,,,,,,
