Município,A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
,25.500,21.300,21.200,,,,
54.400,43.500,34.600,23.800,19.700,,,
,16.200,12.900,,4.900,,,
41.400,32.000,23.600,16.000,10.900,,,
52.100,39.200,29.600,20.300,16.100,,,
53.400,41.100,31.200,20.800,14.800,,,
,25.500,22.200,22.100,,,,
39.700,32.000,24.400,16.300,14.100,,,
49.000,36.200,30.000,24.700,19.700,,,
43.600,29.200,22.100,18.000,12.000,,,
37.200,30.800,23.100,11.800,10.300,,,
47.600,35.700,26.900,18.500,14.700,,,
34.400,27.200,19.900,14.200,10.700,,,
,22.800,18.200,,10.200,,,
41.400,32.000,23.600,16.000,10.900,,,
45.400,36.300,30.100,22.000,17.900,,,
63.300,53.300,45.300,33.600,25.100,,,
43.700,37.800,30.300,17.500,15.200,,,
40.000,34.800,29.700,20.000,,,,
53.800,40.700,30.700,20.800,14.800,,,
41.800,34.000,27.100,22.000,18.100,,,
40.900,29.100,18.300,10.800,8.300,,,
53.800,38.900,24.900,24.700,,,,
42.000,32.600,24.500,16.800,11.500,,,
,24.300,17.700,7.900,5.400,,,
35.700,23.500,18.300,,11.100,,,
54.300,38.900,26.600,21.100,16.000,,,
40.000,28.600,18.800,11.300,8.300,,,
,24.200,18.600,,11.200,,,
48.900,40.500,30.600,20.600,14.800,,,
,27.300,21.200,20.500,14.600,,,
31.500,24.900,18.400,13.200,9.800,,,
,24.700,19.700,,8.400,,,
34.300,28.700,22.000,20.700,15.100,,,
36.400,33.900,28.100,15.000,12.900,,,
34.300,29.900,27.000,16.200,14.000,,,
48.300,34.800,19.700,11.600,8.500,,,
,20.600,12.700,9.400,3.800,,,
36.700,29.600,23.400,17.400,7.900,,,
38.500,32.300,26.300,12.500,8.100,,,
,22.800,18.200,,10.200,,,
44.600,27.800,23.400,20.700,15.000,,,
53.600,46.400,37.300,21.500,18.700,,,
,25.500,24.700,24.600,,,,
51.200,41.500,34.400,20.800,18.600,,,
43.400,28.600,23.700,21.200,15.600,,,
,25.700,20.600,,10.200,,,
35.800,28.100,20.800,15.000,11.200,,,
28.200,22.100,16.200,11.400,8.800,,,
34.200,29.100,22.200,20.600,15.600,,,
