Município,A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
48.700,40.200,30.400,18.800,14.600,,,
46.300,41.100,30.900,12.900,11.300,,,
47.700,31.400,22.300,20.700,16.000,,,
29.200,24.600,19.000,9.500,5.400,,,
47.900,36.000,27.100,22.300,17.800,,,
54.400,40.700,30.700,21.700,14.800,,,
38.200,27.900,21.400,19.400,13.900,,,
33.000,27.300,21.800,20.500,15.400,,,
34.200,27.300,20.300,14.200,8.700,,,
44.800,35.600,29.500,21.900,17.800,,,
,17.700,14.600,,9.200,,,
63.800,53.700,45.700,33.900,25.300,,,
34.000,27.300,24.400,11.000,8.100,,,
,28.800,22.900,,10.100,,,
47.900,36.000,27.100,22.300,17.800,,,
33.800,28.100,21.100,14.200,8.300,,,
55.300,47.900,38.500,22.200,19.300,,,
,24.100,19.200,,8.200,,,
34.000,27.300,24.400,11.000,8.100,,,
51.000,40.800,32.000,16.700,14.500,,,
48.300,32.400,22.100,21.000,16.700,,,
,25.600,21.400,20.700,,,,
,30.000,24.900,24.700,,,,
34.900,27.600,20.400,14.600,10.500,,,
,25.700,20.600,,10.200,,,
48.800,36.200,27.300,18.500,15.200,,,
33.900,28.600,21.800,20.600,14.900,,,
48.900,40.500,30.600,20.600,14.800,,,
36.100,30.000,24.400,16.900,11.300,,,
31.900,25.500,19.100,12.700,6.500,,,
54.700,42.700,32.800,21.900,15.700,,,
,25.200,20.800,,10.400,,,
45.200,34.700,26.100,18.800,14.900,,,
,21.300,17.000,,6.000,,,
44.600,30.100,21.000,20.700,,,,
54.700,42.700,32.800,21.900,15.700,,,
37.300,25.900,17.300,9.500,6.700,,,
56.100,42.200,31.700,26.400,17.800,,,
,30.000,24.900,24.700,,,,
29.300,23.100,17.600,7.700,5.300,,,
40.000,34.800,29.700,20.000,,,,
33.100,25.500,19.200,14.300,8.500,,,
36.000,30.700,24.800,16.900,11.900,,,
47.000,35.700,26.200,20.900,16.900,,,
47.400,37.400,27.600,19.300,13.200,,,
37.500,29.700,24.300,12.800,10.600,,,
44.700,38.100,31.100,16.100,12.300,,,
34.900,28.800,21.900,13.000,10.900,,,
,27.300,24.900,24.700,,,,
