A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
66.200,45.100,35.400,22.200,12.300,5.100,
70.700,49.900,36.300,21.000,14.100,6.000,
120.500,97.600,76.900,56.100,39.500,16.900,
,66.000,55.700,45.400,35.300,15.800,
,54.800,49.600,45.400,35.300,15.800,
138.600,112.200,88.600,53.800,36.500,15.300,
75.300,55.300,42.000,29.500,17.100,7.800,
131.600,103.100,81.900,49.900,33.000,13.400,
,67.700,50.700,39.600,30.200,14.800,
95.300,66.700,37.500,22.200,15.400,6.400,
114.900,85.000,65.800,36.200,23.900,8.600,
66.400,50.100,40.900,29.900,17.100,7.300,
98.500,78.500,47.600,36.600,26.800,12.900,
111.000,90.100,74.700,57.700,41.900,17.000,
,68.400,56.800,44.900,35.400,11.300,
132.600,107.300,83.600,52.000,35.500,13.500,
115.200,82.200,64.000,36.100,24.300,9.800,
,44.400,35.800,23.700,15.200,4.500,
102.300,81.400,70.400,53.800,39.300,16.300,
107.700,89.700,76.500,32.800,21.800,8.900,
129.100,107.800,92.100,43.900,35.700,9.900,
,70.400,58.400,46.200,36.400,11.600,
,48.600,28.000,18.800,11.000,4.700,
111.000,90.100,74.700,57.700,41.900,17.000,
148.900,124.400,100.400,59.800,41.200,17.700,
110.500,81.000,66.500,49.000,,12.000,
115.300,94.400,79.000,60.000,43.900,17.800,
81.300,54.600,35.500,19.900,13.400,5.100,
124.700,101.000,79.600,58.000,40.900,17.500,
,68.100,52.500,38.700,26.900,13.800,
66.400,50.100,40.900,29.900,17.100,7.300,
143.200,107.400,81.500,48.500,35.300,17.800,
121.900,102.900,86.300,43.000,31.500,9.200,
,67.100,53.400,42.200,33.200,10.700,
120.500,97.600,76.900,56.100,39.500,16.900,
75.800,55.500,42.400,29.500,17.000,7.800,
121.400,94.700,71.000,50.900,31.000,16.600,
117.000,98.700,84.200,69.000,55.500,14.800,
124.700,101.000,79.600,58.000,40.900,17.500,
143.600,118.700,93.000,57.600,39.100,17.100,
74.100,58.400,44.300,23.000,14.300,7.700,
148.900,124.400,100.400,59.800,41.200,17.700,
,84.100,64.900,36.000,23.800,8.300,
