Município,A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
34.000,29.000,22.100,20.800,16.000,,,
35.900,30.700,24.700,16.700,11.800,,,
44.800,29.100,24.900,24.700,,,,
53.800,41.600,31.600,20.800,14.800,,,
33.400,26.400,19.400,14.200,10.700,,,
41.400,31.100,23.400,,14.500,,,
36.400,32.100,27.900,18.200,,,,
47.000,35.400,25.300,20.900,16.900,,,
34.200,28.100,21.100,14.000,8.300,,,
48.100,38.100,30.100,20.200,17.900,,,
43.400,36.300,29.900,15.500,11.400,,,
,21.300,17.000,,6.000,,,
33.900,28.200,21.800,20.800,15.500,,,
35.000,28.900,22.900,16.700,11.800,,,
34.100,23.500,20.500,16.400,12.800,,,
,24.600,21.300,19.400,,,,
63.300,53.300,45.300,33.600,25.100,,,
,24.700,19.700,,10.700,,,
32.900,24.800,20.000,10.300,8.700,,,
42.700,36.600,28.800,15.300,13.200,,,
36.000,30.900,24.900,16.900,11.900,,,
43.500,36.900,30.300,19.500,13.100,,,
53.000,38.300,25.200,18.400,14.200,,,
,24.700,19.700,,10.700,,,
45.000,35.800,29.700,21.900,17.800,,,
33.600,23.100,20.000,15.000,11.900,,,
34.200,29.100,22.200,20.600,15.600,,,
33.100,25.500,19.200,14.300,8.500,,,
53.800,41.600,31.600,20.800,14.800,,,
,24.100,19.200,,8.200,,,
,24.800,19.700,,8.300,,,
54.500,40.800,30.700,23.800,17.400,,,
44.900,37.600,30.600,23.700,16.900,,,
43.100,36.300,29.700,19.400,13.000,,,
35.300,28.200,21.200,14.000,8.600,,,
35.300,29.000,21.000,17.700,11.100,,,
35.300,27.600,24.400,13.700,11.400,,,
34.200,28.100,21.100,13.600,8.300,,,
38.400,26.200,24.500,18.600,11.900,,,
44.600,31.200,22.400,15.600,15.100,,,
31.700,28.200,21.700,20.600,14.900,,,
40.000,34.800,29.700,20.000,,,,
52.700,45.700,36.700,21.100,18.400,,,
60.900,49.000,38.800,31.300,22.100,,,
38.400,26.200,24.500,18.600,11.900,,,
36.400,33.900,28.100,15.000,12.900,,,
28.800,22.800,16.700,12.100,9.200,,,
49.900,38.000,30.000,24.700,19.700,,,
51.200,41.500,34.400,20.800,18.600,,,
48.500,38.500,30.500,20.500,18.100,,,
