"SECRETARIA DE EDEPARTAMENTO DDIVISÃO DE ESTATÍPREÇOS MÉDIOS DE TERRAS AGRÍCOLAS  detalh","TADO DA AGRICULTURA E DO ABASTECIMENTO - SEABECONOMIA RURAL  DERALTICAS BÁSICASmento por caracte?istica e município de 2007 a 2016 em Reais por hectare",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Munícipio,"Tipo deTerra",Classe / Grau,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,,,,,,,,,,,,
Godoy Moreira,Mista,Mecanizada,6.000,6.600,7.260,7.260,7.689,8.842,12.773,14.810,18.400,24.400
,Mecanizável,4.200,4.600,5.060,5.060,5.359,6.162,8.361,8.652,15.700,19.900,
,Não Mecanizável,2.691,2.961,3.257,3.257,3.449,3.966,6.516,6.487,9.300,11.700,
,Inaproveitáveis,1.368,1.500,1.650,1.650,1.748,2.010,2.352,2.995,3.400,4.400,
,,,,,,,,,,,,
Goioerê,Mista,Mecanizada,11.983,17.355,21.748,20.443,22.250,26.650,27.900,41.322,45.500,53.179
,Mecanizável,9.917,14.463,15.800,15.150,16.280,22.759,23.800,35.132,36.400,45.661,
,Não Mecanizável,6.446,9.917,11.007,10.237,11.350,11.500,11.500,13.500,15.000,21.487,
,Inaproveitáveis,1.178,1.428,1.500,1.283,1.610,3.800,4.000,4.000,4.500,4.700,
,,,,,,,,,,,,
,Roxa,Mecanizada,10.165,14.112,14.897,14.600,15.000,19.500,20.475,35.123,38.635,42.000
,Mecanizável,8.182,11.687,13.172,12.645,12.900,18.300,19.300,29.855,30.910,35.000,
,Não Mecanizável,5.372,8.820,8.932,8.573,9.115,10.100,10.100,10.500,11.500,12.000,
,Inaproveitáveis,909,1.101,1.200,1.175,1.200,3.000,3.500,4.000,4.000,4.000,
,,,,,,,,,,,,
Goioxim,Mista,Mecanizada,8.600,10.300,12.800,11.900,12.600,13.800,16.400,19.600,20.600,23.600
,Mecanizável,4.700,6.200,6.600,6.200,6.500,7.700,9.200,12.100,12.700,14.000,
,Não Mecanizável,3.500,4.000,4.100,4.200,4.600,5.400,6.300,7.400,7.500,8.600,
,Inaproveitáveis,1.200,1.550,2.000,2.300,2.700,2.700,2.900,3.600,3.500,3.600,
,,,,,,,,,,,,
Grandes Rios,Mista,Mecanizada,6.280,6.910,7.601,7.220,7.647,8.794,12.704,14.990,15.800,21.000
,Mecanizável,4.396,4.836,5.320,5.054,5.352,6.154,8.349,8.650,14.100,17.900,
,Não Mecanizável,2.700,2.970,3.267,3.104,3.287,3.780,6.211,6.532,7.400,10.600,
,Inaproveitáveis,1.458,1.630,1.793,1.703,1.804,2.074,2.427,2.990,3.100,4.300,
,,,,,,,,,,,,
Guaíra,Mista,Mecanizada,9.000,10.330,10.330,18.347,20.625,22.314,25.200,32.000,36.000,40.000
Mecanizável,,,,,,,,,,,,
Não Mecanizável,6.198,7.253,7.253,9.100,11.100,12.420,12.420,17.900,19.200,20.504,,
Inaproveitáveis,3.305,3.719,3.719,6.200,7.654,8.572,6.935,8.500,7.000,9.200,,
,,,,,,,,,,,,
Roxa,Mecanizada,9.000,10.330,10.330,12.300,15.000,16.735,18.300,26.000,30.000,34.000,
Mecanizável,,,,,,,,,,,,
Não Mecanizável,6.198,7.253,7.253,7.438,9.075,10.254,10.254,13.900,15.000,16.800,,
Inaproveitáveis,3.305,3.719,3.719,5.600,7.654,7.654,6.935,8.500,5.800,8.500,,
,,,,,,,,,,,,
