A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
144.700,122.100,94.700,55.100,35.800,17.300,
100.000,78.500,57.800,43.100,30.300,15.300,
130.900,102.200,76.600,58.000,35.200,19.000,
122.900,74.000,59.400,49.100,39.100,15.700,
,60.900,50.300,35.600,27.400,10.900,
143.300,112.000,84.200,63.800,38.800,21.000,
,61.200,50.900,44.900,34.800,15.700,
99.600,75.200,59.600,40.000,27.300,14.200,
82.400,67.800,53.500,38.700,29.300,15.000,
117.900,96.000,71.900,46.900,39.100,20.100,
101.600,76.600,60.500,40.800,27.700,14.500,
129.500,104.900,82.500,60.000,42.200,18.100,
84.400,58.400,36.600,22.300,15.100,6.400,
57.400,42.500,32.900,22.600,11.200,6.000,
130.900,102.200,76.600,58.000,35.200,19.000,
74.600,54.600,40.800,26.900,13.200,7.500,
70.100,50.800,38.400,24.200,11.900,6.800,
64.500,46.900,35.600,23.000,11.300,6.600,
133.900,108.400,85.300,62.100,43.600,18.800,
90.700,75.400,45.800,34.500,25.700,12.600,
94.300,67.200,39.700,23.900,16.400,7.000,
87.000,59.900,37.100,22.700,15.800,6.800,
130.100,104.200,82.000,51.700,35.400,13.300,
127.800,99.600,74.400,56.400,34.100,18.400,
96.400,71.800,56.600,33.600,23.400,9.000,
,63.700,48.800,35.800,24.600,11.900,
129.000,101.000,75.700,57.100,34.600,18.700,
95.300,68.400,53.800,32.000,22.200,8.400,
132.700,103.500,77.600,58.800,35.700,19.300,
,60.900,50.300,35.600,27.400,10.900,
,35.300,27.600,17.500,9.100,5.200,
133.700,104.200,77.900,59.000,35.700,19.300,
114.400,92.500,80.000,41.600,31.700,11.700,
102.900,75.200,62.900,50.600,38.000,15.200,
,66.400,59.600,52.800,39.700,15.900,
132.600,106.200,94.100,39.900,27.100,13.500,
77.500,61.300,49.400,33.200,16.100,8.500,
77.600,63.200,53.800,44.700,,10.500,
,65.000,53.900,31.200,23.300,8.100,
,59.200,43.800,33.200,28.400,13.800,
70.300,49.800,38.400,24.700,11.800,6.900,
133.300,104.200,78.300,59.200,36.100,19.500,
83.000,62.000,49.100,32.200,21.000,8.600,
