Município,A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
,33.000,27.800,22.900,17.900,,,
44.200,37.400,30.500,20.400,13.200,,,
38.600,32.300,26.900,15.500,12.600,,,
56.200,47.800,37.200,22.800,19.600,,,
45.100,38.200,31.100,20.800,13.500,,,
58.200,43.400,32.900,25.600,18.300,,,
41.300,29.800,19.700,11.300,8.300,,,
34.800,28.300,22.400,18.000,8.900,,,
58.700,41.700,28.700,22.500,17.800,,,
40.300,31.300,23.500,16.500,8.200,,,
43.300,34.200,26.200,18.600,9.300,,,
43.300,33.800,26.100,,9.200,,,
60.100,52.700,47.400,31.300,23.200,,,
46.900,35.300,24.500,16.700,16.000,,,
46.300,34.300,21.300,12.200,9.100,,,
42.400,30.400,19.800,11.400,8.800,,,
44.200,35.000,26.000,17.500,11.900,,,
60.200,44.200,31.400,22.100,15.900,,,
43.600,33.500,24.600,16.500,12.300,,,
,27.600,21.500,,14.300,,,
59.700,44.100,31.200,22.200,18.000,,,
43.400,32.400,23.900,16.200,11.300,,,
58.700,43.300,31.200,21.800,18.300,,,
36.800,34.100,28.100,15.300,13.000,,,
,22.700,18.400,,6.400,,,
60.600,45.000,31.200,22.900,18.200,,,
40.100,32.500,28.200,14.400,11.100,,,
41.900,31.300,25.600,21.800,17.600,,,
,33.000,27.800,22.900,17.900,,,
46.400,37.200,33.400,13.700,9.200,,,
51.500,46.000,38.600,29.700,14.800,,,
37.100,32.500,27.800,18.500,,,,
,29.500,21.800,,13.700,,,
,27.900,20.100,,11.700,,,
48.000,35.500,28.100,19.800,9.800,,,
61.000,44.300,30.900,22.400,17.100,,,
39.300,30.800,23.600,14.800,9.100,,,
31.300,24.400,20.200,,5.700,,,
41.900,33.700,26.600,14.400,11.000,,,
45.100,34.000,25.200,,16.100,,,
,25.400,18.600,10.200,6.300,,,
47.900,37.900,27.900,18.900,12.900,,,
45.200,35.700,27.800,22.000,17.900,,,
38.400,35.900,26.400,22.000,17.500,,,
51.500,38.700,27.100,19.600,16.500,,,
,25.100,20.700,,11.200,,,
55.600,41.300,26.700,18.200,13.600,,,
35.800,29.600,23.100,22.800,16.200,,,
37.300,30.100,21.600,15.700,13.200,,,
