"SECRETARIA DE EDEPARTAMENTO DDIVISÃO DE ESTATÍPREÇOS MÉDIOS DE TERRAS AGRÍCOLAS  detalh","TADO DA AGRICULTURA E DO ABASTECIMENTO - SEABECONOMIA RURAL  DERALTICAS BÁSICASmento por caracte?istica e município de 2007 a 2016 em Reais por hectare",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Munícipio,"Tipo deTerra",Classe / Grau,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,,,,,,,,,,,,
Lobato,Roxa,Mecanizada,10.000,12.500,12.500,13.100,16.000,18.500,24.500,27.500,30.300,33.000
,,Mecanizável,,,,,,,,,,
,,Não Mecanizável,5.000,6.250,6.250,6.550,8.000,9.250,12.250,13.750,15.150,16.500
,,Inaproveitáveis,1.000,1.250,1.250,1.310,1.600,1.850,2.450,2.750,5.450,5.400
,,,,,,,,,,,,
,Mista,Mecanizada,9.000,11.500,11.500,12.100,14.600,17.000,22.000,24.750,27.300,31.000
,,Mecanizável,,,,,,,,,,
,,Não Mecanizável,4.500,5.750,5.750,6.050,7.300,8.500,11.000,12.375,13.650,15.500
,,Inaproveitáveis,900,1.150,1.150,1.210,1.460,1.700,2.200,2.475,4.910,6.200
,,,,,,,,,,,,
,Arenosa,Mecanizada,8.000,10.000,10.000,10.500,12.500,15.000,20.000,22.275,24.500,27.000
,,Mecanizável,,,,,,,,,,
,,Não Mecanizável,4.000,5.000,5.000,5.250,6.250,7.500,10.000,11.138,12.250,13.500
,,Inaproveitáveis,800,1.000,1.000,1.050,1.250,1.500,2.000,2.228,4.410,5.400
,,,,,,,,,,,,
Londrina,Roxa,Mecanizada,8.430,10.330,11.500,11.000,12.400,14.300,15.200,29.000,32.770,38.000
,,Mecanizável,6.942,8.264,9.200,8.500,9.600,11.000,11.700,21.750,25.425,29.300
,,Não Mecanizável,4.215,5.165,5.700,5.400,6.100,7.000,7.600,14.500,16.950,19.500
,,Inaproveitáveis,2.893,2.893,3.200,3.000,3.400,4.000,4.300,7.250,8.475,9.500
,,,,,,,,,,,,
Luiziana,Roxa,Mecanizada,14.463,20.661,24.065,23.102,23.447,36.332,36.332,39.256,46.300,53.720
,Mecanizável,10.083,16.528,17.322,16.800,17.355,26.900,26.900,32.000,34.500,37.600,
,Não Mecanizável,6.116,6.612,8.006,8.830,9.256,13.375,13.375,14.800,15.500,17.500,
,Inaproveitáveis,1.240,1.580,1.593,1.550,1.937,3.300,3.300,5.000,5.400,5.900,
,,,,,,,,,,,,
Mista,Mecanizada,11.074,16.993,20.693,18.600,18.600,29.725,29.725,34.500,40.300,43.000,
Mecanizável,8.347,14.876,13.445,13.250,13.250,21.550,21.550,25.800,28.900,31.300,,
Não Mecanizável,4.793,8.935,7.714,7.365,8.884,11.875,11.875,14.250,15.400,17.250,,
Inaproveitáveis,909,1.050,1.180,1.136,2.025,3.000,3.000,3.800,4.050,4.400,,
,,,,,,,,,,,,
