"SECRETARIA DE EDEPARTAMENTO DDIVISÃO DE ESTATÍPREÇOS MÉDIOS DE TERRAS AGRÍCOLAS  detalh","TADO DA AGRICULTURA E DO ABASTECIMENTO - SEABECONOMIA RURAL  DERALTICAS BÁSICASmento por caracte?istica e município de 2007 a 2016 em Reais por hectare",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Munícipio,"Tipo deTerra",Classe / Grau,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,,,,,,,,,,,,
Teixeira Soares,Mista,Mecanizada,6.925,9.150,9.420,9.800,10.200,12.400,15.985,18.385,20.965,26.835
,,Mecanizável,3.950,5.250,6.250,6.300,7.000,8.300,11.045,11.820,16.105,19.648
,,Não Mecanizável,1.900,2.900,3.200,3.300,4.100,4.750,7.870,8.265,11.340,13.154
,,Inaproveitáveis,890,1.200,1.280,1.360,1.800,2.050,2.670,2.725,4.765,5.337
,,,,,,,,,,,,
Telêmaco Borba,Mista,Mecanizada,6.000,7.500,7.500,7.600,7.810,7.950,8.920,16.500,17.500,19.000
,,Mecanizável,4.000,5.000,5.000,5.200,5.370,5.500,8.411,13.200,13.100,13.800
,,Não Mecanizável,1.700,2.100,2.100,2.200,3.290,3.390,4.340,5.280,5.400,5.700
,,Inaproveitáveis,500,600,600,800,860,900,1.200,1.056,1.080,1.200
,,,,,,,,,,,,
,Arenosa,Mecanizada,5.500,6.900,6.900,6.900,7.200,7.450,8.493,15.700,16.800,18.300
,,Mecanizável,3.500,4.200,4.200,4.200,4.370,4.790,8.246,12.560,12.600,13.300
,,Não Mecanizável,1.500,1.900,1.900,1.900,1.980,2.100,3.236,5.020,5.400,5.700
,,Inaproveitáveis,450,550,550,550,570,600,810,1.000,1.080,1.200
,,,,,,,,,,,,
Terra Boa,Roxa,Mecanizada,13.190,17.355,17.313,19.649,17.355,19.421,26.860,35.124,35.124,42.000
,,Mecanizável,9.545,14.463,13.788,15.304,11.000,13.223,18.264,23.884,23.884,
,,Não Mecanizável,5.207,10.331,9.853,10.641,6.700,8.264,10.227,13.347,13.347,16.000
,,Inaproveitáveis,1.240,1.371,1.390,1.800,,,,3.512,4.391,4.962
,,,,,,,,,,,,
,Mista,Mecanizada,10.083,14.876,16.667,15.750,15.298,16.529,22.727,23.884,26.860,32.098
,,Mecanizável,7.479,12.397,12.025,11.663,9.500,10.744,14.773,17.459,17.459,20.863
,,Não Mecanizável,4.876,8.050,6.848,6.546,6.500,7.438,10.227,12.087,12.087,14.443
,,Inaproveitáveis,909,1.101,1.140,1.120,,1.446,2.223,2.686,,
,,,,,,,,,,,,
,Arenosa,Mecanizada,,,,,11.150,13.223,16.529,20.661,20.661,20.661
,,Mecanizável,,,,,8.100,9.091,13.388,16.736,16.736,16.736
,,Não Mecanizável,,,,,5.500,6.198,7.769,9.711,9.711,9.711
,,Inaproveitáveis,,,,,,,,,,
,,,,,,,,,,,,
Terra Rica,Arenosa,Mecanizada,3.504,4.900,5.909,6.180,6.650,8.050,9.000,10.200,13.920,22.728
Mecanizável,3.153,3.800,5.199,5.448,5.850,7.078,7.913,8.981,11.640,19.091,,
Não Mecanizável,1.855,2.950,3.224,3.378,3.625,4.386,4.868,5.525,7.540,10.454,,
Inaproveitáveis,1.425,2.510,2.450,2.560,2.750,3.327,3.692,4.190,4.400,6.637,,
,,,,,,,,,,,,
