Município,A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
52.500,39.800,31.300,25.700,20.500,,,
52.400,42.200,34.600,21.300,18.800,,,
50.200,39.900,31.200,21.400,18.600,,,
35.800,30.600,23.500,16.700,8.300,,,
43.300,33.400,24.500,16.500,10.900,,,
45.500,37.100,29.400,14.500,10.100,,,
49.700,37.500,26.400,16.900,16.100,,,
61.100,44.800,32.300,20.300,15.700,,,
,29.400,25.100,22.000,17.900,,,
56.300,45.000,35.200,24.700,20.200,,,
57.400,46.000,36.600,23.000,17.100,,,
35.700,30.400,23.300,22.000,15.700,,,
53.300,41.100,29.600,24.700,17.900,,,
65.500,55.000,45.700,34.800,25.500,,,
49.100,41.900,33.700,17.100,12.100,,,
62.900,48.600,36.900,23.800,16.600,,,
47.300,37.000,27.100,18.000,11.900,,,
34.900,28.300,22.100,15.500,12.500,,,
45.000,37.900,31.100,20.700,13.400,,,
58.900,42.800,30.000,22.000,16.800,,,
26.900,21.800,14.900,10.500,4.700,,,
46.500,35.800,24.000,16.500,12.100,,,
57.400,46.000,36.500,23.000,17.100,,,
60.100,44.500,31.600,22.500,17.200,,,
61.300,47.300,34.800,21.900,15.700,,,
36.100,30.500,23.500,22.000,17.400,,,
37.300,34.500,28.100,15.400,13.200,,,
60.100,44.500,31.600,22.500,17.200,,,
53.700,38.100,27.300,22.100,16.600,,,
39.000,31.600,23.500,17.200,8.300,,,
40.600,35.200,29.800,20.300,,,,
37.100,32.500,27.800,18.500,,,,
47.500,32.400,22.600,21.300,16.700,,,
38.600,30.800,23.600,15.300,9.400,,,
61.500,44.800,33.800,23.100,18.400,,,
53.500,37.600,30.200,21.200,15.200,,,
40.600,35.200,29.800,20.300,,,,
46.400,35.800,26.600,17.900,12.300,,,
38.100,30.500,23.900,14.200,8.900,,,
36.200,29.300,23.500,15.200,12.900,,,
35.700,30.400,23.300,22.000,15.700,,,
,28.500,25.100,22.000,17.900,,,
47.300,37.000,27.100,18.400,12.700,,,
37.300,29.600,22.800,14.400,8.600,,,
62.900,48.600,36.000,23.100,16.600,,,
44.300,33.300,22.200,16.500,12.600,,,
44.200,37.400,30.500,20.400,13.200,,,
,30.000,20.800,,10.400,,,
55.900,44.500,35.200,24.400,20.000,,,
