A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
97.600,68.400,43.500,29.100,19.300,7.300,
,70.000,54.000,39.900,30.800,15.300,
116.900,86.200,72.400,59.100,47.200,15.800,
91.400,68.300,59.100,26.700,16.300,10.900,
118.200,95.100,79.300,57.300,40.600,20.700,
99.000,85.100,70.100,34.700,25.900,10.100,
105.700,81.500,66.900,45.400,39.200,17.400,
,44.200,33.800,22.400,13.800,5.600,
75.900,55.800,40.500,29.000,17.000,7.700,
133.400,110.000,94.700,79.300,67.300,24.300,
113.900,92.700,72.900,53.100,39.800,19.600,
,73.700,63.500,49.900,39.200,15.900,
106.100,81.600,66.900,47.500,39.200,17.400,
145.000,114.800,94.500,69.300,50.300,25.200,
124.600,97.200,77.300,47.200,31.100,12.600,
,73.600,55.500,43.300,34.500,15.900,
128.800,105.100,83.300,50.500,34.500,14.200,
114.200,86.200,74.300,57.300,43.100,15.800,
117.900,86.600,73.000,59.500,47.500,15.800,
,71.300,59.100,46.800,36.800,12.100,
109.700,79.500,66.200,48.700,,11.900,
127.300,99.200,72.300,44.600,31.800,17.100,
81.200,68.500,57.400,47.400,,11.500,
,71.500,59.900,47.400,37.200,12.300,
129.000,106.400,84.000,51.500,35.100,15.400,
126.200,98.400,73.800,54.900,33.300,18.100,
100.200,78.600,47.600,35.300,25.000,10.000,
117.300,87.000,72.100,59.100,45.800,15.800,
,75.600,65.300,49.600,39.000,12.400,
125.000,99.200,75.900,55.700,34.300,18.700,
130.200,102.500,79.100,58.100,,19.500,
,73.600,55.500,43.300,34.500,15.900,
112.800,83.900,69.800,50.300,38.800,17.400,
,67.200,55.700,43.700,34.000,11.200,
117.400,86.200,72.500,59.100,47.200,15.700,
126.000,102.400,80.800,49.100,33.100,13.900,
81.200,68.500,57.400,47.400,,11.500,
111.800,81.400,60.900,46.400,35.400,12.600,
108.800,89.000,69.800,59.000,45.000,14.800,
131.600,101.500,82.800,45.200,29.300,13.300,
,67.200,55.700,43.700,34.000,11.200,
117.200,94.000,80.200,54.300,46.900,22.300,
112.200,83.300,59.700,37.400,26.100,8.700,
