Indianópolis,Roxa,Mecanizada,3.200,3.500,3.500.1,3.700,5.000,8.300,11.500,10.300,9.000
,Mecanizável,2.200,2.300,2.800,3.000,4.130,7.800,10.500,9.500,8.000,
,Não Mecanizável,-,-,-,-,-,-,-,,,
,Inaproveitáveis,1.150,1.200,-,-,-,-,-,,,
,,,,,,,,,,,
Mista,Mecanizada,2.200,2.200,2.300,3.000,4.130,7.000,10.000,8.700,7.300,
,Mecanizável,1.700,1.700,1.800,2.200,3.720,6.500,9.000,7.900,6.000,
,Não Mecanizável,-,-,-,-,-,-,-,,,
,Inaproveitáveis,1.250,1.300,-,-,-,-,-,,,
,,,,,,,,,,,
Arenosa,Mecanizada,1.700,1.700,1.860,2.500,3.300,6.200,8.000,7.400,6.000,
Mecanizável,1.400,1.400,1.450,2.000,2.890,6.000,7.000,6.600,4.800,,
Não Mecanizável,-,-,-,-,-,-,-,,,,
Inaproveitáveis,1.200,1.200,-,-,-,-,-,,,,
