A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
114.200,86.200,74.300,57.300,43.100,15.800,
,,30.200,21.400,13.000,5.100,
74.600,54.400,41.300,28.800,16.600,7.500,
75.200,54.000,41.300,28.000,15.900,6.500,
102.100,82.900,65.000,47.200,35.300,17.400,
,54.300,46.600,40.900,35.300,15.900,
,67.200,55.700,43.700,34.000,11.300,
105.200,74.800,55.600,49.800,39.700,15.900,
,59.600,49.300,45.300,35.300,15.900,
120.000,97.500,79.500,68.600,58.300,20.700,
,71.300,59.100,46.800,36.800,12.100,
126.100,102.900,80.500,48.900,32.600,12.800,
125.000,97.100,75.900,55.700,34.300,18.700,
116.400,86.200,71.400,57.300,43.100,15.800,
130.300,99.900,82.800,57.500,41.500,17.300,
,61.400,44.800,32.600,21.500,5.200,
75.700,54.000,33.000,22.500,13.200,6.100,
124.900,100.500,83.600,60.000,42.600,21.200,
145.000,114.800,94.500,69.300,50.300,25.200,
125.900,93.600,67.100,42.500,29.900,10.200,
116.800,83.800,71.100,50.300,41.200,17.700,
99.900,80.700,63.700,46.800,35.200,17.200,
95.900,68.400,53.100,34.800,18.800,7.800,
111.000,87.400,70.500,50.600,41.500,17.700,
114.200,84.500,68.800,56.900,42.500,15.800,
132.500,99.200,76.800,49.200,34.600,17.100,
130.300,99.900,82.800,57.500,41.500,17.300,
121.100,81.400,67.800,49.100,,12.000,
86.600,61.600,47.200,31.700,17.700,7.700,
115.500,84.900,71.700,59.900,43.100,15.800,
109.600,89.100,69.900,50.800,38.000,18.800,
113.700,86.900,72.200,57.900,42.200,22.500,
124.600,97.200,77.300,48.300,31.900,12.600,
126.000,102.400,80.800,49.100,33.100,13.900,
120.000,97.500,79.500,68.600,58.300,20.700,
,59.900,44.600,25.600,16.700,5.800,
127.500,104.000,81.900,59.800,44.900,22.100,
127.200,102.600,81.700,49.300,34.000,12.900,
104.200,79.800,51.100,38.600,27.700,10.000,
123.500,96.200,72.200,53.700,32.600,16.300,
,49.600,37.000,23.700,15.100,6.100,
124.600,97.200,77.300,48.300,31.900,12.600,
120.700,96.900,80.400,58.300,50.300,20.700,
