Município,A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
52.500,39.800,31.200,25.700,20.500,,,
51.600,41.600,34.100,21.000,18.500,,,
49.200,39.200,30.600,21.000,18.200,,,
35.800,30.600,23.500,16.700,8.300,,,
40.300,30.900,22.800,15.400,10.100,,,
45.400,37.000,29.300,14.500,10.100,,,
38.700,33.800,25.600,17.800,14.900,,,
61.000,44.800,33.200,20.300,15.700,,,
,27.400,22.200,22.000,,,,
55.200,44.100,34.500,24.200,19.800,,,
56.500,45.300,36.000,22.700,17.000,,,
34.500,29.200,22.400,21.200,15.100,,,
54.200,34.500,24.900,24.700,,,,
64.200,53.900,44.600,34.000,25.000,,,
48.900,41.800,33.600,17.000,12.100,,,
62.800,48.500,36.900,23.800,16.600,,,
45.200,35.300,26.000,17.600,11.900,,,
33.800,27.800,21.900,15.000,12.700,,,
44.200,37.300,30.800,19.800,13.300,,,
58.800,42.800,30.000,21.900,16.800,,,
27.100,21.800,14.900,10.500,4.800,,,
38.800,34.100,25.900,17.900,15.000,,,
56.500,45.300,35.800,22.700,17.000,,,
60.100,44.400,31.600,22.500,17.200,,,
61.200,47.300,35.600,21.900,15.700,,,
34.900,29.400,22.500,21.300,16.700,,,
37.300,34.500,27.900,15.400,13.100,,,
60.100,44.400,31.600,22.500,17.200,,,
55.700,39.900,27.000,22.000,16.500,,,
39.200,31.600,23.500,17.200,8.300,,,
40.200,34.800,29.300,20.100,,,,
36.900,32.200,27.500,18.400,,,,
47.400,32.300,22.400,21.200,16.600,,,
37.200,29.800,22.800,14.800,9.100,,,
61.400,44.800,33.700,23.100,18.400,,,
49.900,37.600,30.200,21.200,15.200,,,
40.200,34.800,29.300,20.100,,,,
44.300,34.000,25.300,17.200,11.800,,,
36.800,29.400,23.100,13.700,8.600,,,
35.300,28.900,23.400,15.300,13.100,,,
34.500,29.200,22.400,21.200,15.100,,,
,27.400,22.200,22.000,,,,
46.400,35.800,26.600,18.300,12.500,,,
36.100,28.600,22.100,14.000,8.400,,,
62.800,48.500,36.900,23.100,16.600,,,
38.900,32.000,24.900,17.900,14.800,,,
43.800,37.000,30.200,19.500,13.100,,,
,24.900,18.700,,9.500,,,
54.800,43.700,34.500,23.900,19.700,,,
