Município,A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
33.400,26.400,19.200,14.000,10.300,,,
45.200,35.600,26.200,18.000,12.600,,,
,25.700,20.600,,10.200,,,
40.900,30.000,19.700,11.300,8.300,,,
,19.300,16.000,,8.000,,,
33.800,26.800,20.700,12.500,7.700,,,
28.400,22.500,16.400,12.000,9.000,,,
42.200,35.500,29.100,19.000,12.700,,,
36.400,28.600,23.200,14.400,12.200,,,
,24.600,20.000,,10.100,,,
,19.500,15.600,,5.400,,,
32.500,26.000,19.400,12.900,6.700,,,
55.400,48.000,38.600,22.200,19.300,,,
45.200,34.000,25.600,18.800,15.100,,,
34.000,29.000,22.100,20.800,16.000,,,
,22.400,16.600,,10.100,,,
50.700,43.000,35.300,22.700,15.300,,,
38.400,29.300,21.700,14.600,9.700,,,
,23.200,18.500,,9.300,,,
43.800,34.000,25.400,17.500,11.900,,,
30.800,25.500,19.200,12.900,7.300,,,
33.100,26.400,19.900,13.000,7.700,,,
33.900,28.700,21.400,20.600,15.800,,,
40.000,34.800,29.700,20.000,,,,
53.200,40.700,30.700,20.500,14.800,,,
36.400,32.100,27.900,18.200,,,,
33.900,28.600,21.800,20.600,15.700,,,
44.200,35.000,25.600,17.800,12.100,,,
44.600,31.200,22.400,15.600,15.100,,,
37.100,29.000,21.000,17.700,10.900,,,
34.200,28.100,21.100,13.600,8.300,,,
33.900,28.700,21.800,20.700,15.500,,,
47.700,35.900,27.000,22.200,17.800,,,
47.000,35.400,25.300,20.900,16.900,,,
,23.200,18.500,,9.300,,,
35.600,30.200,20.000,10.300,8.700,,,
32.600,27.300,21.800,20.600,14.900,,,
32.900,26.100,19.700,12.900,7.600,,,
41.600,32.100,23.700,16.200,11.000,,,
36.400,32.100,27.900,18.200,,,,
48.800,34.400,25.700,21.000,16.900,,,
,22.000,17.800,,11.500,,,
44.700,37.700,28.400,15.500,11.900,,,
32.600,27.300,21.800,20.600,14.900,,,
37.700,27.500,20.500,19.000,13.500,,,
33.300,26.700,20.100,10.000,7.400,,,
43.800,33.800,25.100,17.100,11.800,,,
54.400,43.500,34.600,23.800,19.700,,,
,27.300,22.200,22.100,,,,
30.400,22.500,17.000,8.300,7.400,,,
