Município,A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
57.200,48.300,33.000,25.600,20.400,,,
54.000,43.200,35.500,22.100,19.300,,,
51.000,40.400,31.800,21.700,18.800,,,
37.200,31.300,24.000,16.900,8.400,,,
55.000,42.500,31.200,20.800,13.700,,,
57.700,46.800,36.700,18.700,13.100,,,
49.400,39.100,26.500,23.200,16.900,,,
64.200,48.100,36.000,20.600,15.700,,,
,31.100,26.500,23.100,19.800,,,
56.800,45.100,35.600,24.900,20.300,,,
58.300,46.300,37.200,23.300,17.600,,,
38.400,32.200,24.800,22.800,16.600,,,
57.800,47.800,32.300,27.300,19.800,,,
65.400,54.600,46.000,34.400,25.300,,,
61.500,52.000,41.600,21.500,15.200,,,
67.000,50.600,38.600,23.800,16.600,,,
59.200,46.800,34.000,22.400,14.800,,,
43.500,34.100,26.100,19.800,13.600,,,
46.700,38.900,31.500,21.300,14.100,,,
65.900,48.200,33.900,22.800,16.700,,,
30.000,24.400,16.900,11.900,5.500,,,
49.800,39.300,26.100,23.800,16.600,,,
58.300,46.300,37.200,23.300,17.600,,,
67.200,50.100,36.200,23.600,17.500,,,
64.200,47.800,36.500,22.000,15.700,,,
38.800,32.300,25.000,22.800,18.000,,,
37.800,34.400,28.200,15.800,13.300,,,
76.000,56.600,40.000,26.000,19.400,,,
54.000,38.700,28.100,22.700,17.100,,,
40.600,32.700,24.800,17.700,8.900,,,
42.000,36.000,30.400,21.100,,,,
38.600,33.300,28.400,19.400,,,,
48.200,33.800,24.300,22.300,17.300,,,
44.300,36.000,27.300,18.100,11.500,,,
75.600,56.900,42.700,27.800,21.300,,,
54.400,38.600,30.900,21.800,15.800,,,
41.900,35.800,30.300,21.100,,,,
58.600,45.300,33.700,22.400,15.400,,,
43.200,34.400,26.300,16.700,10.600,,,
44.600,34.900,27.300,19.400,14.000,,,
38.400,32.200,24.800,22.800,16.600,,,
,31.100,26.500,23.100,19.800,,,
60.700,47.900,35.400,23.700,16.200,,,
44.000,34.900,26.400,17.300,10.700,,,
67.000,50.600,38.600,23.100,16.600,,,
49.800,39.500,26.200,22.900,16.500,,,
45.800,38.100,30.900,20.900,13.800,,,
,37.600,26.300,,12.700,,,
56.800,45.100,35.600,24.900,20.300,,,
