"SECRETARIA DE EDEPARTAMENTO DDIVISÃO DE ESTATÍPREÇOS MÉDIOS DE TERRAS AGRÍCOLAS  detalh","TADO DA AGRICULTURA E DO ABASTECIMENTO - SEABECONOMIA RURAL  DERALTICAS BÁSICASmento por caracte?istica e município de 2007 a 2016 em Reais por hectare",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Munícipio,"Tipo deTerra",Classe / Grau,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,,,,,,,,,,,,
Munhoz de Melo,Roxa,Mecanizada,10.000,12.500,12.500,13.100,16.000,18.500,24.500,27.500,30.300,35.000
,,Mecanizável,,,,,,,,,,
,,Não Mecanizável,5.000,6.250,6.250,6.550,8.000,9.250,12.250,13.750,15.150,17.500
,,Inaproveitáveis,1.000,1.250,1.250,1.310,1.600,1.850,2.450,2.750,5.450,5.700
,,,,,,,,,,,,
,Mista,Mecanizada,9.000,11.500,11.500,12.100,14.600,17.000,22.000,24.750,27.300,32.000
,,Mecanizável,,,,,,,,,,
,,Não Mecanizável,4.500,5.750,5.750,6.050,7.300,8.500,11.000,12.375,13.650,16.000
,,Inaproveitáveis,900,1.150,1.150,1.210,1.460,1.700,2.200,2.475,4.910,6.400
,,,,,,,,,,,,
,Arenosa,Mecanizada,8.000,10.000,10.000,10.500,12.500,15.000,20.000,22.275,23.400,28.000
,,Mecanizável,,,,,,,,,,
,,Não Mecanizável,4.000,5.000,5.000,5.250,6.250,7.500,10.000,11.138,11.700,14.000
,,Inaproveitáveis,800,1.000,1.000,1.050,1.250,1.500,2.000,2.228,4.210,5.600
,,,,,,,,,,,,
"Nossa Senhoradas Graças",Roxa,Mecanizada,9.000,11.000,11.000,11.550,14.000,17.000,22.000,24.500,27.000,32.000
,,Mecanizável,,,,,,,,,,
,,Não Mecanizável,4.500,5.500,5.500,5.775,7.000,8.500,11.000,12.250,13.500,16.000
,,Inaproveitáveis,900,1.100,1.100,1.155,1.400,1.700,2.200,2.450,4.860,5.200
,,,,,,,,,,,,
,Mista,Mecanizada,7.500,9.000,9.000,9.500,11.500,17.000,20.000,22.050,24.300,27.000
,,Mecanizável,,,,,,,,,,
,,Não Mecanizável,3.750,4.500,4.500,4.750,5.750,8.500,10.000,11.025,12.150,13.500
,,Inaproveitáveis,750,900,900,950,1.150,1.700,2.000,2.205,4.370,5.400
,,,,,,,,,,,,
,Arenosa,Mecanizada,7.000,8.500,8.500,9.000,10.600,15.000,18.000,19.845,21.000,23.000
,,Mecanizável,,,,,,,,,,
,,Não Mecanizável,3.500,4.250,4.250,4.500,5.300,7.500,9.000,9.923,10.500,11.500
,,Inaproveitáveis,700,850,850,900,1.060,1.500,1.800,1.985,3.780,4.600
,,,,,,,,,,,,
"Nova Aliança doIvaí",Arenosa,Mecanizada,4.917,5.420,5.807,5.807,5.740,8.250,9.075,9.892,14.560,22.727
Mecanizável,,,,,,,,,,,,
Não Mecanizável,,,,,,,,,,,,
Inaproveitáveis,,,,,,,,,3.640,4.090,,
,,,,,,,,,,,,
