"AssisChateaubriand",Roxa,Mecanizada,4.600,4.145,6.321,5.590,6.200,10.909,14.546,15.960,13.566
Mecanizável,3.835,-,-,-,-,-,-,,,,
Não Mecanizável,2.812,-,-,-,-,-,-,,,,
Inaproveitáveis,1.912,-,-,-,-,-,-,,,,
