Unnamed: 0,Mecanizada,-,4.000,5.000,5.000.1,5.500,14.727,16.660,15.000,13.000
Serranópolis do,Mecanizável,-,-,-,-,-,-,-,,
RoxaIguaçu,Não Mecanizável,-,2.500,2.000,2.000,2.200,4.091,6.200,6.200,5.000
,Inaproveitáveis,-,-,-,-,-,2.045,2.250,3.300,3.000
