A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
122.000,96.200,72.900,53.000,32.500,17.700,
,46.300,36.700,25.400,16.100,4.800,
93.000,73.700,45.000,35.900,25.400,9.900,
143.600,107.700,84.800,53.300,39.300,20.300,
123.300,97.300,74.300,54.200,33.800,18.100,
126.800,93.900,74.000,45.500,31.700,17.000,
,64.900,53.600,42.600,32.300,11.000,
78.800,61.900,51.500,47.300,39.600,13.800,
127.600,100.700,76.900,56.200,34.700,18.800,
100.800,81.000,64.000,47.200,33.500,14.100,
,61.000,47.900,36.700,23.900,4.800,
103.200,76.800,62.800,46.400,,11.500,
78.100,64.600,54.700,45.200,,11.000,
98.900,64.700,53.500,42.000,32.700,10.800,
107.400,78.200,64.200,51.400,39.400,12.800,
128.100,101.100,77.200,56.400,34.800,18.900,
119.100,96.800,76.300,55.700,39.200,16.800,
104.700,77.200,63.300,46.800,,11.500,
127.800,102.900,79.500,49.400,34.100,13.000,
107.000,77.700,64.900,52.200,41.000,13.600,
90.400,72.200,54.200,40.600,29.300,7.400,
,64.900,54.500,43.200,33.900,11.200,
,51.100,44.200,40.900,35.200,15.700,
128.200,104.900,83.200,50.400,34.500,14.200,
107.900,78.400,65.300,52.500,41.300,13.900,
131.900,99.800,78.300,47.300,34.400,17.000,
87.900,70.900,43.700,35.000,25.400,9.900,
115.600,90.600,72.400,48.400,32.000,16.800,
,75.700,54.700,34.500,22.300,7.800,
131.800,102.200,86.200,57.100,41.300,17.100,
131.000,98.900,74.900,47.300,31.700,17.000,
139.500,111.600,94.200,69.300,49.400,18.600,
98.300,79.500,60.400,40.500,21.900,10.000,
111.300,98.100,77.500,36.400,21.900,9.400,
86.600,69.400,42.900,32.800,24.000,9.900,
131.900,99.800,78.300,47.300,34.400,17.000,
98.900,64.700,53.500,42.000,32.700,10.800,
,61.500,50.900,40.100,31.100,10.400,
,55.800,40.100,29.700,19.500,4.800,
,60.400,50.100,39.400,30.900,10.500,
,64.400,53.400,42.000,32.700,10.800,
126.800,93.900,74.000,45.500,31.700,17.000,
143.500,119.900,99.100,52.600,36.000,17.100,
