A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
80.200,59.800,41.200,25.100,15.100,5.400,
76.000,55.200,38.800,22.700,12.800,6.200,
116.200,94.700,74.600,54.500,40.900,20.100,
,70.400,55.600,45.300,35.300,15.900,
,57.000,49.300,45.300,35.300,15.900,
126.000,102.400,80.800,49.100,33.100,13.900,
77.400,56.200,42.700,29.600,17.200,7.700,
124.600,97.200,77.300,47.200,31.100,12.600,
,73.400,55.300,43.500,34.500,16.100,
102.100,72.000,41.800,26.800,18.700,7.400,
125.900,93.600,67.100,42.500,29.900,10.200,
70.700,52.300,41.900,30.100,17.200,7.200,
104.700,80.400,50.300,38.000,27.000,10.000,
120.000,97.500,79.500,68.600,58.300,20.700,
,71.900,59.600,47.200,37.100,12.200,
125.000,100.900,78.700,49.300,33.700,12.700,
126.300,90.500,65.400,42.100,30.000,11.300,
,50.700,40.300,28.100,17.900,5.200,
111.100,85.800,72.400,60.600,51.200,18.500,
125.900,93.600,67.100,42.500,29.900,10.200,
114.100,98.600,83.600,36.800,28.900,11.600,
,71.900,59.600,47.200,37.100,12.200,
,50.600,34.200,19.700,11.600,5.000,
120.000,97.500,79.500,68.600,58.300,20.700,
135.300,112.900,91.300,54.100,37.400,16.100,
121.100,81.400,67.800,49.100,,12.000,
124.500,101.900,84.000,70.400,59.200,21.200,
87.700,58.800,38.800,24.300,15.800,6.000,
120.000,97.800,77.100,56.200,42.200,20.800,
,72.300,56.200,43.000,34.600,15.600,
70.700,52.300,41.900,30.100,17.200,7.200,
132.600,99.200,76.800,47.300,34.600,17.100,
103.900,84.000,72.400,37.100,25.800,10.600,
,71.500,60.000,47.300,36.100,11.600,
111.300,90.600,71.500,52.200,39.200,19.300,
77.200,56.100,42.700,29.500,17.000,7.700,
113.900,88.800,66.700,49.500,30.000,16.200,
124.500,108.600,93.000,76.300,61.900,16.700,
120.000,97.800,77.100,56.200,42.200,20.800,
129.000,106.400,84.000,51.500,35.100,15.400,
90.900,70.600,60.600,27.100,16.600,10.900,
135.300,112.900,91.300,54.100,37.400,16.100,
,92.700,66.400,42.100,29.600,9.800,
