"SECRETARIA DE EDEPARTAMENTO DDIVISÃO DE ESTATÍPREÇOS MÉDIOS DE TERRAS AGRÍCOLAS  detalh","TADO DA AGRICULTURA E DO ABASTECIMENTO - SEABECONOMIA RURAL  DERALTICAS BÁSICASmento por caracte?istica e município de 2007 a 2016 em Reais por hectare",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Munícipio,"Tipo deTerra",Classe / Grau,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,,,,,,,,,,,,
"Rio Branco doIvaí",Mista,Mecanizada,4.400,4.800,5.280,5.280,5.592,6.430,10.348,13.517,15.800,22.400
,Mecanizável,3.300,3.600,3.960,3.960,4.176,4.802,7.606,6.720,12.300,16.700,
,Não Mecanizável,2.475,2.700,2.970,2.970,3.146,3.617,5.943,6.004,7.300,10.500,
,Inaproveitáveis,1.458,1.600,1.760,1.760,1.864,2.143,2.507,2.890,3.300,4.400,
,,,,,,,,,,,,
Rio Branco do Sul,Mista,Mecanizada,2.541,3.017,3.620,4.132,4.525,5.041,5.868,7.466,10.331,11.570
,Mecanizável,2.541,2.562,2.896,3.306,3.620,4.070,4.835,5.973,8.264,9.256,
,Não Mecanizável,508,537,744,826,893,1.000,1.942,2.538,3.512,3.934,
,Inaproveitáveis,83,100,127,152,152,186,1.157,1.643,2.273,2.545,
,,,,,,,,,,,,
Rio Negro,Mista,Mecanizada,4.130,6.195,8.054,10.072,12.087,13.296,14.626,18.721,21.450,22.523
,Mecanizável,3.042,4.563,5.931,6.806,8.167,8.984,9.883,12.650,14.800,15.540,
,Não Mecanizável,1.350,2.025,2.633,3.285,3.942,4.336,4.770,6.105,5.850,6.143,
,Inaproveitáveis,510,765,994,1.852,1.850,2.445,2.500,2.700,2.700,2.835,
,,,,,,,,,,,,
Rolândia,Roxa,Mecanizada,10.300,11.300,13.200,13.200,16.530,17.500,18.375,31.000,35.120,41.000
,Mecanizável,7.400,8.000,10.330,10.330,13.000,13.800,14.490,23.250,26.340,30.750,
,Não Mecanizável,4.900,4.900,6.320,6.320,7.900,8.400,8.820,15.500,17.560,20.500,
,Inaproveitáveis,4.900,4.900,6.320,6.320,7.900,8.400,8.820,7.750,7.750,9.000,
,,,,,,,,,,,,
,Mista,Mecanizada,9.300,9.300,10.860,10.860,13.580,14.400,15.120,24.800,28.096,33.000
,Mecanizável,6.700,6.700,7.840,7.840,9.800,10.400,10.920,18.600,21.072,24.000,
,Não Mecanizável,,,,,,,,,,,
,Inaproveitáveis,,,,,,,,,,,
,,,,,,,,,,,,
Roncador,Roxa,Mecanizada,10.950,16.529,16.607,16.158,17.355,20.661,20.700,35.000,43.000,45.000
Mecanizável,6.612,11.157,13.500,12.870,14.463,17.000,17.000,28.000,36.000,38.000,,
Não Mecanizável,4.081,7.025,9.400,9.052,9.380,10.000,10.000,13.500,13.500,14.000,,
Inaproveitáveis,1.054,1.280,1.300,1.240,1.860,4.000,4.000,4.500,4.500,4.500,,
,,,,,,,,,,,,
