"SECRETARIA DE EDEPARTAMENTO DDIVISÃO DE ESTATÍPREÇOS MÉDIOS DE TERRAS AGRÍCOLAS  detalh","TADO DA AGRICULTURA E DO ABASTECIMENTO - SEABECONOMIA RURAL  DERALTICAS BÁSICASmento por caracte?istica e município de 2007 a 2016 em Reais por hectare",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Munícipio,"Tipo deTerra",Classe / Grau,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,,,,,,,,,,,,
Figueira,Mista,Mecanizada,7.438,8.182,8.182,8.182,8.836,10.332,10.434,11.157,14.650,16.529
,,Mecanizável,,,,,,,,,,31.179
,,Não Mecanizável,3.017,3.347,3.347,3.347,3.614,3.837,4.125,4.455,6.700,7.437
,,Inaproveitáveis,905,1.071,1.071,1.071,1.156,1.232,1.324,1.364,2.050,2.275
,,,,,,,,,,,,
"Flor da Serra doSul",Mista,Mecanizada,10.000,14.050,15.600,15.600,17.000,18.500,25.000,31.000,33.000,40.000
,,Mecanizável,,,,11.500,12.000,15.500,20.000,24.800,26.400,30.000
,,Não Mecanizável,3.000,5.000,5.600,5.600,6.100,7.000,8.000,11.000,11.500,15.000
,,Inaproveitáveis,800,1.000,1.000,1.000,1.100,1.300,1.500,1.670,1.670,2.000
,,,,,,,,,,,,
Floraí,Mista,Mecanizada,11.000,13.750,13.750,15.100,18.500,22.000,24.500,30.000,33.000,39.500
,,Mecanizável,,,,,,,,,,
,,Não Mecanizável,5.500,6.875,6.875,7.550,9.250,11.000,12.250,15.000,16.500,19.750
,,Inaproveitáveis,1.100,1.375,1.375,1.510,1.850,2.200,2.450,3.000,5.940,6.500
,,,,,,,,,,,,
,Roxa,Mecanizada,10.000,12.500,12.500,13.750,16.700,20.000,22.000,27.000,29.700,35.500
,,Mecanizável,,,,,,,,,,
,,Não Mecanizável,5.000,6.250,6.250,6.875,8.350,10.000,11.000,13.500,14.850,17.750
,,Inaproveitáveis,1.000,1.250,1.250,1.375,1.670,2.000,2.200,2.700,5.350,7.100
,,,,,,,,,,,,
,Mista,Mecanizada,9.000,11.500,11.500,12.650,15.000,18.000,20.000,24.300,26.800,30.500
,,Mecanizável,,,,,,,,,,
,,Não Mecanizável,3.500,5.750,5.750,6.325,7.500,9.000,10.000,12.150,13.400,15.250
,,Inaproveitáveis,900,1.150,1.150,1.265,1.500,1.800,2.000,2.430,4.820,6.100
,,,,,,,,,,,,
Floresta,Roxa,Mecanizada,13.000,16.000,16.000,17.600,26.600,30.000,33.000,44.000,48.400,58.000
Mecanizável,,,,,,,,,,,,
Não Mecanizável,6.500,8.000,8.000,8.800,13.300,15.000,16.500,22.000,24.200,29.000,,
Inaproveitáveis,1.300,1.600,1.600,1.760,2.660,3.000,3.300,4.400,8.710,9.500,,
,,,,,,,,,,,,
