Município,A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
55.500,41.100,26.700,18.200,13.700,,,
41.600,38.700,22.400,14.900,8.900,,,
57.500,43.200,32.400,27.000,20.600,,,
46.200,36.500,27.000,18.600,12.600,,,
38.300,30.300,21.500,13.700,9.500,,,
47.500,37.600,27.700,19.100,13.200,,,
,25.900,19.100,,9.500,,,
43.000,31.400,20.400,11.400,8.400,,,
,21.300,16.900,,9.100,,,
36.800,29.400,23.100,13.700,8.600,,,
32.300,25.600,19.100,11.600,8.000,,,
43.300,36.500,30.200,19.400,13.000,,,
37.100,29.000,23.300,14.400,12.100,,,
,28.000,20.000,,11.200,,,
,22.300,17.500,,6.300,,,
39.200,31.300,23.500,16.500,8.200,,,
56.100,47.800,37.100,22.700,19.500,,,
47.200,35.600,26.700,19.900,15.700,,,
35.100,29.400,22.400,21.200,16.300,,,
,28.000,20.000,,11.200,,,
56.500,45.900,37.100,25.300,17.000,,,
40.300,30.900,22.800,15.400,10.100,,,
,23.700,18.900,,9.500,,,
46.400,35.800,26.600,18.300,12.500,,,
34.600,28.400,21.800,14.300,8.300,,,
36.100,28.600,22.100,14.000,8.400,,,
34.400,28.900,21.700,21.100,15.800,,,
40.200,34.800,29.300,20.100,,,,
61.000,46.800,35.100,21.700,15.700,,,
36.900,32.200,27.500,18.400,,,,
34.400,28.800,22.100,21.100,15.800,,,
46.200,36.500,27.000,18.600,12.600,,,
59.100,40.500,27.800,20.900,15.800,,,
38.800,32.100,25.000,18.100,14.900,,,
38.000,31.000,23.800,15.500,9.300,,,
34.500,28.900,22.100,21.100,15.600,,,
59.800,44.300,31.600,22.400,18.300,,,
60.100,44.400,31.600,22.700,18.400,,,
,23.700,18.900,,9.500,,,
36.600,30.800,21.000,10.800,8.900,,,
33.300,27.700,22.100,21.200,15.000,,,
35.800,28.400,21.500,13.800,8.200,,,
42.200,32.700,24.100,16.500,11.200,,,
36.900,32.200,27.500,18.400,,,,
48.400,34.600,26.400,21.200,16.800,,,
,23.600,19.300,,12.300,,,
47.400,39.900,29.900,16.600,12.600,,,
33.300,27.700,22.100,21.200,15.000,,,
43.100,33.200,22.900,19.900,14.000,,,
