A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
,67.000,55.600,44.000,34.600,11.100,
89.700,69.100,51.200,28.100,16.600,8.400,
,69.400,53.200,38.700,26.200,13.100,
,75.600,66.100,54.900,42.200,14.900,
79.100,61.900,51.500,45.300,37.900,13.200,
116.800,100.400,81.700,43.100,28.900,9.000,
104.600,71.900,39.300,24.200,16.200,7.100,
,43.900,35.100,23.200,14.700,4.500,
,56.500,44.400,34.000,22.100,4.500,
123.600,103.500,83.600,41.600,26.700,12.600,
,67.700,52.900,41.300,31.400,13.900,
136.500,106.400,79.800,57.300,34.900,18.800,
115.300,94.400,79.000,60.000,43.900,17.800,
,53.100,47.000,41.100,35.300,15.800,
126.900,98.100,80.000,56.100,40.000,18.100,
135.200,105.400,79.100,56.800,34.600,18.600,
,84.500,65.300,36.400,24.200,8.700,
97.900,75.000,57.500,28.500,16.900,9.000,
90.300,65.400,42.500,23.200,13.800,7.300,
,58.800,48.800,38.200,30.100,9.900,
,70.400,60.900,49.700,38.700,14.900,
115.800,85.900,66.700,37.100,24.700,9.400,
88.500,61.700,51.400,45.400,35.300,15.800,
137.700,101.900,76.900,46.600,32.500,17.800,
98.900,70.800,53.600,24.400,14.300,8.000,
114.700,92.700,72.600,52.700,37.100,15.800,
82.500,67.700,57.400,47.400,,11.500,
149.900,117.100,88.300,63.800,,20.900,
103.200,76.200,61.700,50.300,37.300,12.600,
129.800,99.900,82.900,56.900,40.700,17.600,
142.800,114.500,93.700,49.600,36.300,13.900,
,39.000,29.800,20.300,12.600,5.400,
,72.500,60.100,47.600,37.400,12.000,
114.900,85.000,65.800,36.200,23.900,8.600,
105.400,82.600,73.400,47.700,41.500,17.800,
,53.100,47.000,41.100,35.300,15.800,
147.000,117.400,99.100,72.800,51.900,19.500,
,67.700,50.700,38.700,31.900,15.200,
103.200,79.700,62.600,44.300,34.100,17.400,
109.400,87.900,73.200,57.000,41.700,16.800,
114.900,85.000,65.800,36.200,23.900,8.600,
116.200,90.900,72.400,47.300,37.600,16.100,
117.200,94.000,74.300,54.600,38.700,16.400,
