Município,A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
34.700,29.600,28.100,15.000,10.600,,,
44.300,34.000,25.300,17.200,11.800,,,
54.800,43.700,34.500,23.900,19.700,,,
,27.400,22.200,22.000,,,,
33.500,26.200,19.900,11.100,9.400,,,
56.000,46.300,34.300,19.800,15.500,,,
48.700,38.800,30.200,21.400,10.600,,,
47.800,32.000,23.300,21.300,16.200,,,
29.300,24.700,19.200,9.600,5.500,,,
59.200,43.200,31.000,22.300,18.100,,,
62.500,46.800,35.100,22.900,15.700,,,
43.100,33.200,23.100,20.100,14.000,,,
33.600,27.600,22.100,21.100,15.400,,,
37.200,29.600,22.800,14.800,9.100,,,
45.400,36.000,29.900,22.100,17.700,,,
,19.400,15.800,,9.800,,,
64.200,53.900,44.700,34.000,25.000,,,
34.900,28.400,25.100,11.600,8.600,,,
,29.000,20.900,,9.400,,,
62.500,46.300,32.600,23.200,18.400,,,
41.700,38.900,22.400,14.900,8.900,,,
56.000,47.700,37.100,22.700,19.500,,,
,24.600,19.600,,8.400,,,
34.900,28.400,25.100,11.600,8.600,,,
51.600,41.000,31.500,17.100,14.600,,,
47.400,32.300,22.400,21.200,16.600,,,
,27.400,22.200,22.000,,,,
,27.400,22.200,22.000,,,,
40.400,31.900,22.700,14.600,10.200,,,
,25.900,19.100,,9.500,,,
50.800,37.900,28.700,19.600,15.800,,,
34.400,28.800,22.100,21.300,15.100,,,
56.100,46.500,34.700,21.600,15.800,,,
36.500,30.200,22.500,15.500,10.400,,,
39.200,31.300,24.000,16.900,8.400,,,
62.800,49.100,37.500,23.100,16.600,,,
,25.500,20.900,,10.500,,,
58.500,43.000,30.800,21.600,17.400,,,
,21.900,17.200,,6.200,,,
49.200,30.100,22.200,22.000,,,,
62.800,49.100,37.500,23.100,16.600,,,
38.900,26.700,17.800,9.600,6.800,,,
58.000,43.700,32.800,27.400,18.300,,,
,27.400,22.200,22.000,,,,
29.400,23.200,17.800,7.700,5.300,,,
40.200,34.800,29.300,20.100,,,,
35.500,29.300,22.600,14.900,8.900,,,
36.400,30.900,22.900,15.500,10.900,,,
59.200,43.200,30.300,22.300,17.600,,,
