A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
127.800,102.900,79.500,49.400,34.100,13.000,
131.800,102.200,86.200,57.100,41.300,17.100,
,54.600,49.400,45.300,35.200,15.700,
102.000,75.100,62.500,43.600,34.000,15.100,
122.900,97.700,70.900,40.700,30.700,16.500,
86.800,63.300,47.600,31.900,17.900,7.800,
102.900,79.000,65.300,51.200,39.700,15.300,
77.000,49.700,32.800,19.600,12.700,4.800,
126.900,100.300,76.500,56.100,34.800,18.700,
126.800,98.900,72.300,47.300,31.700,17.000,
113.800,91.400,77.000,52.700,45.800,22.100,
,68.700,57.000,45.200,35.500,11.700,
107.400,78.200,64.200,51.400,39.400,12.800,
109.000,80.900,67.000,53.200,39.700,15.200,
,73.500,58.900,48.100,35.700,10.900,
139.500,111.600,94.200,69.300,49.400,18.600,
104.300,85.300,73.800,36.200,26.900,10.600,
,77.200,55.700,35.000,22.400,7.700,
133.400,105.300,80.400,,,19.700,
116.700,97.400,82.500,66.800,53.300,15.100,
128.000,107.100,91.900,72.500,52.900,21.100,
,69.500,53.700,39.500,28.700,14.400,
104.300,85.300,73.800,36.200,26.900,10.600,
110.000,89.100,73.900,59.700,43.400,17.600,
98.900,64.700,53.500,42.000,32.700,10.800,
,67.100,58.000,47.400,36.900,14.200,
,52.800,49.400,45.300,35.200,15.700,
104.100,75.300,56.400,26.300,15.200,9.500,
,78.500,56.700,35.800,23.100,8.100,
110.400,89.600,70.600,51.600,36.400,15.500,
,67.500,56.000,44.400,34.800,11.500,
123.500,98.000,71.600,44.300,32.500,16.800,
107.100,77.400,56.000,35.300,22.800,8.300,
72.200,52.600,39.800,27.800,16.500,7.500,
131.900,99.800,78.300,47.300,34.400,17.000,
,69.100,52.100,40.300,30.600,14.700,
117.000,92.200,70.100,51.500,30.600,16.100,
,39.800,30.400,20.400,12.900,5.300,
93.700,69.600,59.200,49.000,36.900,14.200,
131.900,99.800,78.300,47.300,34.400,17.000,
76.400,51.200,33.000,20.900,13.500,5.300,
125.700,102.200,80.500,58.800,41.400,17.700,
,54.600,49.400,45.300,35.200,15.700,
