A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
152.100,128.400,99.800,57.800,37.600,18.100,
104.300,84.200,74.200,49.400,40.700,17.700,
136.200,106.300,80.000,57.600,35.200,18.900,
118.800,70.400,60.000,49.700,39.600,15.800,
79.100,61.900,51.500,45.300,37.900,13.200,
149.200,116.500,87.900,63.500,38.700,20.900,
,61.700,51.400,45.400,35.300,15.800,
113.900,89.300,71.300,46.500,30.700,16.100,
105.300,83.600,66.900,48.600,36.400,18.900,
128.300,107.400,92.000,69.400,50.600,20.200,
116.200,90.900,72.400,47.300,37.600,16.100,
129.900,105.300,83.000,60.500,42.600,18.200,
87.200,60.300,38.200,23.200,15.800,6.600,
65.900,47.800,37.200,26.900,15.600,6.300,
136.200,106.300,80.000,57.600,35.200,18.900,
78.600,56.800,42.700,30.300,17.500,7.600,
70.700,55.500,40.500,26.700,15.600,6.700,
67.800,50.600,39.000,25.600,14.900,6.600,
134.200,108.900,85.800,62.500,44.000,18.800,
94.000,77.600,48.600,37.400,28.200,12.600,
97.600,69.600,41.500,24.800,17.200,7.200,
90.100,62.100,38.700,23.600,16.500,7.000,
132.600,107.300,83.600,52.000,35.500,13.500,
132.900,103.700,77.800,55.900,34.100,18.300,
115.800,85.900,66.700,37.100,24.700,9.400,
,69.400,58.500,46.500,33.800,14.800,
134.200,105.000,79.000,56.700,34.600,18.600,
114.200,81.700,63.400,35.300,23.500,8.800,
138.000,107.700,81.100,58.300,35.600,19.100,
79.100,61.900,51.500,45.300,37.900,13.200,
,42.900,32.400,21.300,13.000,5.500,
139.100,108.400,81.300,58.500,35.600,19.100,
124.700,97.000,84.100,43.400,33.200,12.200,
108.000,79.800,66.700,54.900,42.200,14.900,
,75.600,66.100,54.900,42.200,14.900,
139.200,111.500,99.100,41.600,28.300,14.100,
86.100,65.500,54.300,38.500,21.800,8.700,
82.500,67.700,57.400,47.400,,11.500,
,78.900,59.400,48.700,37.300,10.500,
,67.700,50.700,38.700,31.900,15.200,
78.700,54.800,42.500,29.200,16.400,7.200,
138.600,108.300,81.700,59.000,36.100,19.400,
107.500,77.200,64.800,52.900,41.600,13.100,
