Município,A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
62.500,48.000,36.300,22.900,15.700,,,
64.200,53.900,45.400,34.000,25.000,,,
33.300,26.900,20.700,,6.100,,,
41.600,32.800,29.300,15.900,11.900,,,
38.800,34.100,25.900,17.900,14.900,,,
62.800,48.500,36.900,23.100,16.600,,,
47.400,32.300,22.400,21.200,16.600,,,
34.100,28.000,22.100,21.200,15.100,,,
35.200,26.200,19.000,13.200,7.000,,,
34.700,29.300,22.500,21.200,15.700,,,
33.600,28.000,22.100,21.200,15.100,,,
61.200,47.300,35.600,21.900,15.700,,,
52.100,43.600,35.900,18.500,12.200,,,
29.400,25.900,20.500,9.500,5.400,,,
29.200,23.200,17.800,9.100,5.300,,,
61.300,52.400,39.200,31.400,22.900,,,
,30.000,22.200,22.000,,,,
,27.400,22.200,22.000,,,,
42.100,32.600,24.100,16.500,11.100,,,
37.400,29.800,22.400,15.700,7.800,,,
40.300,30.900,22.800,15.400,10.100,,,
,25.000,20.000,,10.800,,,
45.100,33.000,19.200,10.700,8.100,,,
36.400,31.100,22.900,15.500,11.000,,,
42.800,38.800,31.800,24.000,11.900,,,
39.000,32.000,24.800,18.000,15.000,,,
50.700,43.200,33.600,20.500,17.700,,,
34.400,28.700,21.900,21.200,15.300,,,
41.800,32.900,24.500,16.600,11.300,,,
37.500,30.900,22.700,15.400,10.500,,,
27.100,21.800,14.900,10.500,4.800,,,
44.300,37.700,29.300,18.000,15.400,,,
39.000,31.100,24.800,15.100,10.000,,,
39.100,31.000,26.300,14.000,11.700,,,
33.600,27.600,22.100,21.100,15.400,,,
,23.200,17.800,7.700,5.300,,,
52.400,44.600,34.700,21.300,18.300,,,
47.500,37.500,27.700,19.100,13.200,,,
40.200,34.800,29.300,20.100,,,,
54.200,46.200,36.000,22.000,18.900,,,
37.900,26.400,17.900,9.600,6.600,,,
57.500,43.200,32.400,27.000,20.600,,,
,24.600,19.600,,8.400,,,
42.800,38.800,31.800,24.000,11.900,,,
62.600,48.500,36.900,23.100,16.600,,,
39.600,30.900,23.000,13.300,11.100,,,
34.400,28.800,22.900,21.200,16.000,,,
49.700,37.400,28.200,19.600,15.400,,,
38.500,30.700,23.900,16.700,8.400,,,
