"Tuneiras doOeste",Roxa,Mecanizada,2.300,2.500,2.600,3.700,5.700,12.000,12.500,9.100,8.500
,Mecanizável,1.800,2.000,2.080,3.000,5.300,11.000,11.500,7.300,7.500,
,Não Mecanizável,-,-,-,-,-,-,-,,,
,Inaproveitáveis,1.250,1.300,-,-,-,-,-,,,
,,,,,,,,,,,
Mista,Mecanizada,2.000,2.000,2.200,2.900,5.000,7.500,10.000,8.300,7.000,
,Mecanizável,1.800,1.800,1.700,1.800,4.500,7.000,9.000,7.300,6.000,
,Não Mecanizável,-,-,-,-,-,-,-,,,
,Inaproveitáveis,1.200,1.200,-,-,-,-,-,,,
,,,,,,,,,,,
Arenosa,Mecanizada,1.500,1.500,1.650,2.500,3.300,6.200,8.000,7.000,5.800,
Mecanizável,1.250,1.300,1.300,1.900,2.900,6.000,7.000,6.600,4.300,,
Não Mecanizável,-,-,-,-,-,-,-,,,,
Inaproveitáveis,1.000,1.000,-,-,-,-,-,,,,
