Unnamed: 0,Unnamed: 1,Mecanizada,8.250,10.700,14.500,14.500.1,14.500.2,15.702,20.661,24.793,24.793.1,33.057
,,Mecanizável,7.200,9.000,9.000,9.000,9.000,10.331,14.050,16.860,16.860,27.767
,Roxa,,,,,,,,,,,
,,Não Mecanizável,,5.000,5.000,5.000,5.000,6.198,8.471,10.165,10.165,15.206
,,Inaproveitáveis,,,,,,,,,3.720,9.561
,,Mecanizada,7.225,9.000,11.000,10.330,10.330,11.570,18.595,16.860,20.661,27.900
,,Mecanizável,6.200,7.000,6.500,6.500,6.500,8.264,12.719,13.430,13.430,23.436
Rondon,Mista,,,,,,,,,,,
,,Não Mecanizável,,6.000,6.000,6.000,6.000,6.612,8.368,9.298,9.298,12.834
,,Inaproveitáveis,,,,,,,,,,
,,Mecanizada,6.200,7.200,8.200,8.246,8.300,9.091,15.702,18.595,18.595,25.028
,,Mecanizável,5.000,6.200,6.000,6.000,6.000,7.438,12.719,13.017,13.017,21.023
,Arenosa,,,,,,,,,,,
,,Não Mecanizável,,5.000,5.000,5.000,5.000,6.198,7.380,8.740,8.740,11.512
,,Inaproveitáveis,,,,,,,,,,
