Tibagi,Mista,Mecanizada,1.900,2.100,2.100.1,2.150,2.450,3.980,10.100,9.950,9.600
,Mecanizável,890,1.400,1.450,1.480,1.685,2.410,5.950,5.850,5.650,
,Não Mecanizável,650,900,900,900,1.040,1.320,2.800,2.750,2.650,
,Inaproveitáveis,190,300,300,250,285,400,720,750,700,
,,,,,,,,,,,
Arenosa,Mecanizada,1.800,2.000,2.000,2.050,2.340,3.850,8.420,8.280,8.200,
Mecanizável,820,1.300,1.300,1.320,1.550,2.350,4.990,4.950,4.900,,
Não Mecanizável,620,800,800,800,930,1.280,2.370,2.360,2.300,,
Inaproveitáveis,180,280,280,240,270,380,650,650,600,,
