"SECRETARIA DE EDEPARTAMENTO DDIVISÃO DE ESTATÍPREÇOS MÉDIOS DE TERRAS AGRÍCOLAS  detalh","TADO DA AGRICULTURA E DO ABASTECIMENTO - SEABECONOMIA RURAL  DERALTICAS BÁSICASmento por caracte?istica e município de 2007 a 2016 em Reais por hectare",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Munícipio,"Tipo deTerra",Classe / Grau,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,,,,,,,,,,,,
Nova Santa Rosa,Roxa,Mecanizada,12.550,14.000,14.000,22.169,25.000,27.000,29.000,35.000,40.000,44.000
,Mecanizável,8.145,9.162,9.162,17.200,18.576,18.576,20.433,28.000,32.000,36.000,
,Não Mecanizável,6.611,7.404,7.404,9.173,9.906,9.906,10.896,19.800,20.000,22.000,
,Inaproveitáveis,6.198,6.942,6.942,9.173,9.906,9.906,8.816,9.200,7.800,8.800,
,,,,,,,,,,,,
Nova Tebas,Mista,Mecanizada,5.600,6.160,6.776,6.776,7.176,8.252,11.921,14.305,16.900,22.400
,Mecanizável,4.080,4.480,4.928,4.928,5.219,6.001,8.142,7.990,14.300,19.100,
,Não Mecanizável,2.565,2.850,3.135,3.135,3.320,3.818,6.273,6.532,8.900,11.200,
,Inaproveitáveis,1.458,1.600,1.760,1.760,1.864,2.143,2.507,2.998,3.500,4.400,
,,,,,,,,,,,,
Novo Itacolomi,Roxa,Mecanizada,9.860,11.800,11.900,13.000,15.500,16.500,17.820,19.900,27.400,30.000
,Mecanizável,,,,,,,,,,,
,Não Mecanizável,4.440,6.100,6.400,7.200,8.100,9.300,10.040,10.620,12.400,13.500,
,Inaproveitáveis,1.100,1.200,1.200,1.800,2.000,2.000,2.160,2.430,4.100,4.500,
,,,,,,,,,,,,
Ortigueira,Mista,Mecanizada,6.500,8.500,8.500,8.500,8.880,8.950,8.950,15.900,17.100,18.600
,Mecanizável,4.500,5.800,5.800,5.800,6.090,6.200,8.514,10.560,11.500,12.100,
,Não Mecanizável,2.200,2.700,2.700,2.700,2.835,2.950,3.717,4.200,5.000,5.300,
,Inaproveitáveis,650,800,800,800,840,960,982,840,1.000,1.100,
,,,,,,,,,,,,
,Arenosa,Mecanizada,5.800,7.500,7.500,7.500,7.800,8.000,8.600,12.550,14.700,16.000
,Mecanizável,4.100,5.300,5.300,5.300,5.560,5.920,8.347,10.050,11.000,11.600,
,Não Mecanizável,2.000,2.500,2.500,2.500,2.625,2.900,3.717,4.020,5.000,5.300,
,Inaproveitáveis,600,750,750,750,780,800,982,805,1.000,1.100,
,,,,,,,,,,,,
Ourizona,Roxa,Mecanizada,13.000,16.000,16.000,17.600,26.600,30.000,33.000,38.000,41.800,50.000
Mecanizável,,,,,,,,,,,,
Não Mecanizável,6.500,8.000,8.000,8.800,13.300,15.000,16.500,19.000,20.900,25.000,,
Inaproveitáveis,1.300,1.600,1.600,1.760,2.660,3.000,3.300,3.800,7.520,8.200,,
,,,,,,,,,,,,
Mista,Mecanizada,11.000,13.000,13.000,14.300,21.450,27.000,30.000,34.200,37.700,45.500,
Mecanizável,,,,,,,,,,,,
Não Mecanizável,5.500,6.500,6.500,7.150,10.750,13.500,15.000,17.100,18.850,22.750,,
Inaproveitáveis,1.100,1.100,1.100,1.430,2.145,2.700,3.000,3.420,6.790,9.100,,
,,,,,,,,,,,,
