Unnamed: 0,Unnamed: 1,Mecanizada,6.000,6.600,7.260,7.260.1,7.689,8.842,12.773,14.727,24.900,24.900.1
,,Mecanizável,4.000,4.400,4.840,4.840,5.126,5.894,7.997,7.650,20.000,20.000
,Roxa,,,,,,,,,,,
,,Não Mecanizável,2.520,2.800,3.080,3.080,3.262,3.751,6.163,6.188,13.400,13.400
,,Inaproveitáveis,1.458,1.598,1.758,1.758,1.862,2.141,2.505,2.990,4.200,4.200
Mato Rico,,,,,,,,,,,,
,,Mecanizada,4.400,4.500,4.950,4.950,5.243,6.029,9.962,10.261,16.900,22.400
,,Mecanizável,3.200,3.400,3.740,3.740,3.961,4.555,7.092,7.325,14.500,18.900
,Mista,,,,,,,,,,,
,,Não Mecanizável,2.160,2.600,2.860,2.860,3.029,3.483,4.319,4.526,8.900,11.200
,,Inaproveitáveis,1.305,1.350,1.485,1.485,1.573,1.808,2.079,2.580,3.500,4.500
