Unnamed: 0,Unnamed: 1,Mecanizada,11.000,13.750,13.750.1,15.100,18.500,22.000,24.500,33.000,36.300,43.500
,,Mecanizável,,,,,,,,,,
,Roxa,,,,,,,,,,,
,,Não Mecanizável,5.500,6.875,6.875,7.550,9.250,11.000,12.250,16.500,18.150,21.750
,,Inaproveitáveis,1.100,1.375,1.375,1.510,1.850,2.200,2.450,3.300,6.530,7.100
,,Mecanizada,10.000,12.500,12.500,13.750,16.700,20.000,22.000,29.700,32.700,39.000
,,Mecanizável,,,,,,,,,,
Ângulo,Mista,,,,,,,,,,,
,,Não Mecanizável,5.000,6.250,6.250,6.875,8.350,10.000,11.000,14.850,16.350,19.500
,,Inaproveitáveis,1.000,1.250,1.250,1.375,1.670,2.000,2.200,2.970,5.890,7.800
,,Mecanizada,9.000,11.500,11.500,12.650,15.000,18.000,20.000,26.730,29.400,35.000
,,Mecanizável,,,,,,,,,,
,Arenosa,,,,,,,,,,,
,,Não Mecanizável,4.500,5.750,5.750,6.325,7.500,9.000,10.000,13.365,14.700,17.500
,,Inaproveitáveis,900,1.150,1.150,1.265,1.500,1.800,2.000,2.673,5.290,7.000
