"SECRETARIA DE EDEPARTAMENTO DDIVISÃO DE ESTATÍPREÇOS MÉDIOS DE TERRAS AGRÍCOLAS  detalh","TADO DA AGRICULTURA E DO ABASTECIMENTO - SEABECONOMIA RURAL  DERALTICAS BÁSICASmento por caracte?istica e município de 2007 a 2016 em Reais por hectare",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Munícipio,"Tipo deTerra",Classe / Grau,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,,,,,,,,,,,,
Nova Fátima,Roxa,Mecanizada,9.504,10.620,10.950,11.364,12.397,13.388,14.876,16.736,25.206,27.686
,Mecanizável,,,,,,,,,,,
,Não Mecanizável,5.228,5.413,5.455,5.620,5.992,6.405,7.231,8.058,12.396,13.884,
,Inaproveitáveis,950,983,985,1.004,1.033,1.085,1.226,1.360,1.859,2.223,
,,,,,,,,,,,,
,Mista,Mecanizada,7.330,8.100,8.471,8.802,9.504,10.124,11.364,12.810,17.768,20.041
,Mecanizável,,,,,,,,,,,
,Não Mecanizável,3.290,3.430,3.636,3.719,4.050,4.752,5.372,5.909,11.157,12.603,
,Inaproveitáveis,733,760,760,777,818,870,992,1.090,1.673,2.143,
,,,,,,,,,,,,
Nova Laranjeiras,Mista,Mecanizada,3.719,7.900,10.300,9.500,9.800,11.500,13.000,16.900,21.900,28.300
,Mecanizável,2.892,4.500,7.000,5.200,5.600,6.600,7.500,10.200,13.100,20.600,
,Não Mecanizável,1.859,2.400,4.200,3.000,3.450,4.100,4.600,6.400,7.600,15.800,
,Inaproveitáveis,1.446,1.600,1.700,1.000,1.100,1.250,1.400,2.200,2.600,4.200,
,,,,,,,,,,,,
Nova Londrina,Arenosa,Mecanizada,3.500,4.000,5.100,5.400,6.000,7.000,9.200,10.400,14.560,22.726
,Mecanizável,3.080,3.542,4.488,4.457,5.280,6.162,8.103,9.075,12.380,19.089,
,Não Mecanizável,1.848,2.152,2.782,2.950,3.522,4.110,5.400,6.048,8.470,10.453,
,Inaproveitáveis,1.478,1.726,2.114,2.241,2.606,3.041,3.996,4.475,4.820,6.662,
,,,,,,,,,,,,
Nova Olímpia,Arenosa,Mecanizada,6.200,8.264,8.264,8.200,10.000,11.157,14.500,21.000,21.000,20.660
,Mecanizável,5.000,7.025,7.025,7.000,8.500,10.000,13.000,,,,
,Não Mecanizável,,,,,,,,,,,
,Inaproveitáveis,,,,,,,,,3.780,8.000,
,,,,,,,,,,,,
"Nova Prata doIguaçu",Mista,Mecanizada,11.000,15.000,17.000,17.100,18.000,22.500,28.000,35.000,37.000,41.500
,Mecanizável,,,,,,,22.400,27.200,28.000,32.000,
,Não Mecanizável,4.800,6.000,6.500,6.700,7.500,8.000,10.300,12.800,13.500,15.000,
,Inaproveitáveis,920,1.200,1.200,1.200,1.250,1.400,1.680,2.000,2.000,2.500,
,,,,,,,,,,,,
"Nova SantaBárbara",Roxa,Mecanizada,9.297,10.330,10.744,11.157,12.190,13.223,14.669,16.529,24.793,27.520
Mecanizável,,,,,,,,,,,,
Não Mecanizável,5.206,5.413,5.455,5.620,6.074,6.405,7.231,8.058,12.190,13.636,,
Inaproveitáveis,930,962,965,983,1.054,1.107,1.240,1.375,1.828,2.182,,
,,,,,,,,,,,,
