Unnamed: 0,Unnamed: 1,Mecanizada,7.450,8.900,9.000,9.000.1,9.450,9.700,13.000,22.700,23.500,25.600
,,Mecanizável,5.800,6.600,6.700,6.700,7.035,7.200,9.920,18.100,17.600,18.570
,Mista,,,,,,,,,,,
,,Não Mecanizável,3.000,3.700,3.800,3.800,3.990,4.180,6.600,7.200,7.000,7.400
,,Inaproveitáveis,700,800,820,950,1.000,1.150,1.300,1.440,1.400,1.500
Castro,,,,,,,,,,,,
,,Mecanizada,6.500,8.700,8.870,8.870,9.190,9.490,10.800,21.900,22.600,24.600
,,Mecanizável,5.450,6.400,6.530,6.530,6.785,7.000,8.770,18.000,16.900,17.900
,Arenosa,,,,,,,,,,,
,,Não Mecanizável,2.000,3.500,3.570,3.570,3.695,4.000,4.923,7.200,7.000,7.400
,,Inaproveitáveis,400,650,680,680,710,750,1.350,1.440,1.400,1.500
