Unnamed: 0,Unnamed: 1,Mecanizada,8.884,9.917,10.331,10.744,11.777,12.810,14.256,15.909,24.380,26.818
,,Mecanizável,,,,,,,,,,
,Roxa,,,,,,,,,,,
,,Não Mecanizável,4.340,4.524,4.669,4.835,5.165,5.579,6.281,6.818,11.570,12.975
,,Inaproveitáveis,888,917,920,938,1.000,1.060,1.240,1.375,1.735,2.083
Ribeirão do,,,,,,,,,,,,
Pinhal,,,,,,,,,,,,
,,Mecanizada,6.440,7.190,7.231,7.521,8.264,9.090,10.331,11.777,19.008,22.314
,,Mecanizável,,,,,,,,,,
,Mista,,,,,,,,,,,
,,Não Mecanizável,3.000,3.120,3.306,3.388,3.636,4.545,5.165,5.785,10.330,11.983
,,Inaproveitáveis,644,669,670,682,731,782,909,1.000,1.549,2.037
