Unnamed: 0,Unnamed: 1,Mecanizada,3.000,3.925,3.925.1,4.546,6.198,9.500,18.600,15.700,11.500
,,Mecanizável,2.416,3.719,3.719,4.133,5.578,8.700,16.530,12.400,10.500
,Roxa,,,,,,,,,,
,,Não Mecanizável,1.390,2.066,2.066,2.480,2.893,3.720,8.300,7.500,6.000
,,Inaproveitáveis,1.305,1.653,-,1.860,2.480,2.890,4.200,7.500,6.000
Sertanópolis,,,,,,,,,,,
,,Mecanizada,-,-,-,3.513,4.800,7.600,16.530,12.400,10.300
,,Mecanizável,-,-,-,3.100,4.235,6.800,16.530,12.400,9.200
,Mista,,,,,,,,,,
,,Não Mecanizável,-,-,-,-,-,-,-,,
,,Inaproveitáveis,-,-,-,-,-,-,-,,
