A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
104.800,77.900,63.100,50.600,37.600,13.200,
,,28.700,20.500,12.400,5.000,
73.100,53.600,40.700,28.500,16.400,7.500,
72.900,52.400,40.200,27.400,15.500,6.400,
103.200,83.600,65.500,47.600,33.500,14.200,
,52.800,44.200,40.900,35.200,15.700,
,64.400,53.400,42.000,32.700,10.900,
104.800,74.500,55.400,49.600,39.500,15.700,
,59.700,49.400,45.300,35.200,15.700,
110.700,89.800,74.600,60.200,43.800,17.800,
,68.200,56.500,44.800,35.200,11.600,
125.700,102.800,80.400,48.900,32.700,12.800,
122.700,96.800,73.900,53.900,33.300,18.100,
104.800,77.900,63.900,50.600,37.600,13.200,
120.500,93.300,76.100,53.400,38.200,17.300,
,55.800,40.100,29.700,19.500,4.800,
72.700,52.300,31.300,21.500,12.400,5.600,
121.900,95.500,76.200,50.600,33.500,17.100,
143.600,108.700,85.700,58.100,39.300,20.300,
106.100,79.300,57.300,35.900,23.200,8.400,
114.100,81.200,71.000,48.300,40.600,17.500,
100.800,81.000,64.000,47.200,33.500,14.100,
86.100,61.800,48.000,31.600,17.800,7.800,
107.800,80.400,70.600,48.400,40.700,17.500,
104.800,76.400,61.600,50.300,37.100,12.500,
131.800,98.900,76.600,49.100,34.400,17.000,
120.500,93.300,76.100,53.400,38.200,17.300,
104.700,77.200,63.300,46.800,,11.500,
84.400,60.400,46.300,31.300,17.500,7.700,
105.900,76.800,64.200,52.900,37.600,12.800,
104.600,84.800,66.500,48.300,33.900,14.500,
106.600,84.800,68.100,49.900,37.500,19.000,
124.100,97.300,77.300,48.300,32.000,12.600,
125.500,102.300,80.700,49.000,33.200,13.900,
110.700,89.800,74.600,60.200,43.800,17.800,
,58.900,44.000,24.700,16.100,5.400,
122.100,99.200,78.200,57.100,40.200,17.200,
126.700,102.600,81.600,49.300,34.000,12.900,
92.200,71.000,45.300,34.900,25.500,9.800,
119.600,93.300,70.100,51.900,31.600,15.600,
,47.600,35.500,22.700,14.500,6.000,
124.100,97.300,77.300,48.300,32.000,12.600,
118.000,92.300,73.400,49.300,39.300,16.800,
